date,type,value
2014Q1,Unfinished,136
2014Q2,Unfinished,345
2014Q3,Unfinished,345
2014Q4,Unfinished,201
2015Q1,Unfinished,35
2015Q2,Unfinished,63
2015Q3,Unfinished,40
2015Q4,Unfinished,68
2016Q1,Unfinished,78
2016Q2,Unfinished,54
2016Q3,Unfinished,112
2016Q4,Unfinished,47
2017Q1,Unfinished,56
2017Q2,Unfinished,70
2017Q3,Unfinished,2
2017Q4,Unfinished,2
2018Q1,Unfinished,9
2018Q2,Unfinished,0
2018Q3,Unfinished,null
2018Q4,Unfinished,null
2014Q1,Reconnection,59
2014Q2,Reconnection,114
2014Q3,Reconnection,191
2014Q4,Reconnection,116
2015Q1,Reconnection,167
2015Q2,Reconnection,203
2015Q3,Reconnection,72
2015Q4,Reconnection,85
2016Q1,Reconnection,104
2016Q2,Reconnection,78
2016Q3,Reconnection,80
2016Q4,Reconnection,55
2017Q1,Reconnection,69
2017Q2,Reconnection,73
2017Q3,Reconnection,88
2017Q4,Reconnection,95
2018Q1,Reconnection,76
2018Q2,Reconnection,59
2018Q3,Reconnection,null
2018Q4,Reconnection,null
2014Q1,Non-Domestic,7
2014Q2,Non-Domestic,7
2014Q3,Non-Domestic,13
2014Q4,Non-Domestic,12
2015Q1,Non-Domestic,9
2015Q2,Non-Domestic,7
2015Q3,Non-Domestic,7
2015Q4,Non-Domestic,11
2016Q1,Non-Domestic,21
2016Q2,Non-Domestic,8
2016Q3,Non-Domestic,9
2016Q4,Non-Domestic,7
2017Q1,Non-Domestic,5
2017Q2,Non-Domestic,7
2017Q3,Non-Domestic,11
2017Q4,Non-Domestic,17
2018Q1,Non-Domestic,11
2018Q2,Non-Domestic,8
2018Q3,Non-Domestic,null
2018Q4,Non-Domestic,null
