date,Dublin
2013Q1,299024
2013Q2,328095
2013Q3,330897
2013Q4,319954
2014Q1,316803
2014Q2,345213
2014Q3,348541
2014Q4,343103
2015Q1,363359
2015Q2,395520
2015Q3,376438
2015Q4,391059
2016Q1,407512
2016Q2,405981
2016Q3,401838
2016Q4,393953
