name,address,eircode,x,y
St James's Hospital Dublin,"James's Street, Dublin 8, ",D08NHY1,313433.6436,233460.873
The Adelaide & Meath Hospital (Tallaght Hospital) Dublin,"Tallaght, Dublin 24",,308195.7986,227903.5429
Connolly Hospital Dublin,"Mill Road, Dublin 15, ",D15X40D,308545.2076,238839.27
Beaumont Hospital,"Beaumont Road, Dublin 9, ",D09C562,318014.4006,239461.7999
St Columcille's Hospital,"Bray Road, Loughlinstown, Co. Dublin, ",D18V9K1,324650.0136,223005.9479
St Vincent's University Hospital,"Elm Park, Nutley Lane, Dublin 4, ",D04T6F4,319049.9696,231076.2339
St Michael's Hospital Dun Laoghaire,"George's Street Lower, Dun Laoghaire, Co. Dublin, ",A96P902,324095.6746,228667.4989
Mater Misericordiae Hospital,"Eccles Street, Dublin 7, ",D07R2WY,315270.9066,235749.3699
