date,region,type,value,percent
2002,Dún Laoghaire-Rathdown,Semi-detached house,29524,46.08
2006,Dún Laoghaire-Rathdown,Semi-detached house,29341,42.91
2011,Dún Laoghaire-Rathdown,Semi-detached house,30236,39.90
2016,Dún Laoghaire-Rathdown,Semi-detached house,30769,39.16
2002,Dún Laoghaire-Rathdown,Terraced house,11308,17.65
2006,Dún Laoghaire-Rathdown,Terraced house,11797,17.25
2011,Dún Laoghaire-Rathdown,Terraced house,12969,17.11
2016,Dún Laoghaire-Rathdown,Terraced house,13288,16.91
2002,Dún Laoghaire-Rathdown,Flat or apartment in a purpose- built block,4921,7.68
2006,Dún Laoghaire-Rathdown,Flat or apartment in a purpose- built block,8540,12.49
2011,Dún Laoghaire-Rathdown,Flat or apartment in a purpose- built block,13539,17.86
2016,Dún Laoghaire-Rathdown,Flat or apartment in a purpose- built block,15974,20.33
2002,Dún Laoghaire-Rathdown,Flat or apartment in a converted house or commercial building and bedsits,1824,2.85
2006,Dún Laoghaire-Rathdown,Flat or apartment in a converted house or commercial building and bedsits,1766,2.58
2011,Dún Laoghaire-Rathdown,Flat or apartment in a converted house or commercial building and bedsits,1344,1.77
2016,Dún Laoghaire-Rathdown,Flat or apartment in a converted house or commercial building and bedsits,1343,1.71
2002,Dún Laoghaire-Rathdown,Not stated,787,1.23
2006,Dún Laoghaire-Rathdown,Not stated,1123,1.64
2011,Dún Laoghaire-Rathdown,Not stated,1100,1.45
2016,Dún Laoghaire-Rathdown,Not stated,508,0.65
2002,Dublin City,Detached house,8389,4.64
2006,Dublin City,Detached house,9012,4.73
2011,Dublin City,Detached house,10837,5.21
2016,Dublin City,Detached house,10382,4.91
2002,Dublin City,Semi-detached house,45026,24.92
2006,Dublin City,Semi-detached house,45826,24.03
2011,Dublin City,Semi-detached house,47998,23.09
2016,Dublin City,Semi-detached house,48881,23.10
2002,Dublin City,Terraced house,69356,38.39
2006,Dublin City,Terraced house,70519,36.98
2011,Dublin City,Terraced house,74179,35.69
2016,Dublin City,Terraced house,74446,35.18
2002,Dublin City,Flat or apartment in a purpose- built block,36089,19.98
2006,Dublin City,Flat or apartment in a purpose- built block,43140,22.62
2011,Dublin City,Flat or apartment in a purpose- built block,54639,26.29
2016,Dublin City,Flat or apartment in a purpose- built block,60349,28.52
2002,Dublin City,Flat or apartment in a converted house or commercial building and bedsits,15562,8.61
2006,Dublin City,Flat or apartment in a converted house or commercial building and bedsits,16018,8.40
2011,Dublin City,Flat or apartment in a converted house or commercial building and bedsits,14555,7.00
2016,Dublin City,Flat or apartment in a converted house or commercial building and bedsits,14188,6.71
2002,Dublin City,Not stated,6239,3.45
2006,Dublin City,Not stated,6196,3.25
2011,Dublin City,Not stated,5639,2.71
2016,Dublin City,Not stated,3345,1.58
