Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2017","1 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST","Dublin 3","Dublin","€242,424.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","11 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST","Dublin 3","Dublin","€242,424.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","124 SEAFIELD RD, CLONTARF, DUBLIN 3","Dublin 3","Dublin","€535,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","126 SEAFIELD RD, CLONTARF, DUBLIN 3","Dublin 3","Dublin","€630,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","128 SEAFIELD RD, CLONTARF, DUBLIN 3","Dublin 3","Dublin","€535,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","13 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3","Dublin 3","Dublin","€271,800.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","18 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST","Dublin 3","Dublin","€242,424.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","20 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3","Dublin 3","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","25 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST","Dublin 3","Dublin","€148,148.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","32 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3","Dublin 3","Dublin","€352,800.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","35 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3","Dublin 3","Dublin","€215,600.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","5 SEAFIELD GROVE, CLONTARF, DUBLIN 3","Dublin 3","Dublin","€830,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","8 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3","Dublin 3","Dublin","€271,800.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2017","9 TEAL HOUSE, REDCOURT OAKS SEAFIELD RD EAST, CLONTARF","Dublin 3","Dublin","€66,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"02/01/2017","31 UPPER DRUMCONDRA ROAD, DRUMCONDRA, DUBLIN 9","","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2017","114 SHELMARTIN AVE, MARINO, DUBLIN 3","Dublin 3","Dublin","€375,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2017","13 THE VIEW, ROBSWALL, MALAHIDE","","Dublin","€575,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2017","180 THE LINKS, ELM PARK, MERRION RD DUBLIN 4","Dublin 4","Dublin","€292,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2017","4 Park lane, Belltree, Clongriffen","","Dublin","€255,507.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
