Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2012","78 Dollymount Park, Clontarf, Dublin 3","Dublin 3","Dublin","€169,525.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"02/01/2012","Apartment 24, Fortfield Court, Terenure","Dublin 6w","Dublin","€120,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"03/01/2012","12 Brookwood Crescent, Artane, Dublin 5","Dublin 5","Dublin","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2012","182 Santry Close, Santry","","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2012","31 Glencairn Lawn, the gallops, sandyford","","Dublin","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2012","55 Ashington Gardens, Navan Road","","Dublin","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2012","No. 91 Grand Canal Residences, Grand Canal Harbour, Hanover Quay","Dublin 2","Dublin","€160,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2012","16 Kinvara Avenue, Navan Road","Dublin 7","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","32 cedarmount road, mount merrion","","Dublin","€401,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","33 The Walk, Robswall, Malahide","","Dublin","€263,436.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2012","36 Biscayne, Malahide","","Dublin","€505,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","7 McKelvey Avenue, Finglas","Dublin 11","Dublin","€124,950.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","10 Goldsmith Street, Phibsborough","Dublin 7","Dublin","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","10 Old Rectory Park, Dundrum, Dublin 14","","Dublin","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","10 Sommerville Avenue, Crumlin","","Dublin","€172,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","11 Orby Avenue, The Gallops, Leopardstown","","Dublin","€241,409.69","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2012","143 Carrigmore Crescent, Fortunestown lane, Saggart","","Dublin","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","182 St Donaghs Rd, Donaghmede, DUBLIN 13","Dublin 13","Dublin","€170,655.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","182 St Donaghs Road, Donaghmede, Dublin 13","Dublin 13","Dublin","€170,655.26","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","27 Cabra Park, Phibsboro","Dublin 11","Dublin","€105,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","28 PARKVIEW, SWORDS MANOR, SWORDS","","Dublin","€187,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","3 St Mary's Avenue, Rathfarnham, Dublin 14","","Dublin","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","31 (FORMERLY 36) Cabra Park, Phibsboro","Dublin 7","Dublin","€120,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","46 Glencairn Crescent, The Gallops, Lepordstown","","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","46 The Paddocks Drive, Adamstown","","Dublin","€150,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2012","79 Lansdowne village, Sandymount, Dublin 4","","Dublin","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","84, Sandyhill Gardens, Ballymun","Dublin 11","Dublin","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","90 Laverna Way, Castleknock","Dublin 15","Dublin","€312,775.33","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"06/01/2012","1 Whitton Road, Terenure, Diblin 6W","Dublin 8","Dublin","€415,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","11 Slemish Road, Navan Road","","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","14 Brighton Square, Brighton Road","Dublin 18","Dublin","€835,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","15 Connawood Green, Old Connaught Avenue, Bray","","Dublin","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","15 Yale, Ardilea, Clonskeagh","","Dublin","€680,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","18 Upper Erne Street, Dublin 2","Dublin 2","Dublin","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","180 Woodfield, Scholarstown Road, Rathfarnham","Dublin 16","Dublin","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","251 Nutgrove Avenue, Rathfarnham","","Dublin","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","33 rushbrook park, templeogue, dublin 6w","","Dublin","€247,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","4 O'Leary Road, Inchicore, Dublin 8","","Dublin","€142,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","48 Galtymore Drive, Drimnagh, Dublin 12","","Dublin","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","58A, Arbour Hill","Dublin 7","Dublin","€38,751.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","6 beechlawn mews, terenure","","Dublin","€182,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","61 Poddle Close, Crumlin","Dublin 12","Dublin","€87,725.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","78/78A HYDE SQUARE APTS., 646A 666 SOUTH CIRCULAR RD., DUBLIN 8","Dublin 8","Dublin","€185,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2012","apt 34 auburn avenue, auburn park, castleknock","","Dublin","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","wayside, old bray road, foxrock","Dublin 18","Dublin","€475,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","1 River Lane Grove, Shankill","","Dublin","€212,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","26 Dawson House, Patrick Street, Dublin 8","","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","28 Mount Prospect Drive, Clontarf, Dublin 3","","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","356 Mourne Road, Drimnagh","","Dublin","€118,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","47 Wellmount Crescent, Finglas","","Dublin","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","56 marian park, baldoyle","","Dublin","€212,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","57 The Larches, Abberley, Killiney","","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","57A/57B, Leeson Park, Ranelagh","Dublin 6","Dublin","€997,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","62 Esker Lawns, Lucan","","Dublin","€264,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","70 and 70a Hyde Square, Rear of 646a  646b  648-646, South Circular Road","","Dublin","€180,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
