Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2018","1 ABBEY ST, HOWTH, DUBLIN","Dublin 7","Dublin","€710,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","1 ROSEVILLE, LOWER ROAD, SHANKILL","Dublin 18","Dublin","€627,230.70","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","19 ULVERTON RD, DALKEY, DUBLIN","","Dublin","€1,130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","236 PHIBSBORO RD, DUBLIN 7, DUBLIN","Dublin 7","Dublin","€277,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","3 COLLEGE COURT, PORTRANE ROAD, DONABATE","","Dublin","€348,017.62","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","34 SLANE RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","51A ST PATRICKS CRESCENT, MONKSTOWN, DUBLIN","","Dublin","€545,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","62 ABBERLEY APTS, ABBERLEY SQ, HIGH ST DUBLIN 24","Dublin 24","Dublin","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","89 CROMWELLSFORT RD, WALKINSTOWN, DUBLIN 12","Dublin 12","Dublin","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","APT 67 SEAPARK, MOUNT PROSPECT AVE, CLONTARF DUBLIN 3","Dublin 3","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","Apt 70, Eustace Court, Coolinor","","Dublin","€400,882.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"03/01/2018","1 Ballygossan Park, Golf Links Road, Skerries","","Dublin","€348,017.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"03/01/2018","10 SHANTALLA PARK, BEAUMONT, DUBLIN 9","Dublin 9","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","14 Castleway, Kinsealy Lane, Malahide","","Dublin","€729,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/01/2018","147 KILDARE RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","€372,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","16 AMBERFIELD, VERDEMONT, BLANCHARDSTOWN","","Dublin","€203,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","16 CLEARSTREAM COURT, MCKEE AVENUE, FINGLAS","Dublin 11","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","17 WOODSTOWN LANE, KNOCKLYON, DUBLIN 16","Dublin 16","Dublin","€456,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","20  Greenbank House, Cualanor, Upper Glenageary Road","","Dublin","€273,488.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/01/2018","25 CASTLEKNOCK DOWNS, DUBLIN 15, DUBLIN","Dublin 15","Dublin","€342,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","28 LYMEWOODS MEWS, NORTHWOOD, SANTRY","","Dublin","€269,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","36 LISSADEL DRIVE, DRIMAGH, DUBLIN 12","","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","40 HERBERT PARK, BALLSBRIDGE, DUBLIN 4","Dublin 4","Dublin","€2,725,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","5 LAMBAY VIEW, RUSH, DUBLIN","","Dublin","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","61 CROMCASTLE RD, KILMORE WEST, COOLOCK DUBLIN 5","Dublin 5","Dublin","€302,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","63 ST BEGNETS VILLAS, DALKEY, DUBLIN","","Dublin","€605,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","65 COLLEGEFORT, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","APT 11D METROPOLITAN APPARTMENTS, 67 INCHICORE ROAD, KILMAINHAM","","Dublin","€281,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","APT 18, MARYLAND HOUSE BEECHFIELD HAVEN, SHANKILL","Dublin 18","Dublin","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","APT 4, 39 LOWER DORSET ST, DUBLIN","Dublin 1","Dublin","€197,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","No. 3 Castlechurch Drive, Castlechurch, Newcastle","","Dublin","€281,939.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2018","1 MAPLE, HAZELDENE, DONNYBROOK DUBLIN 4","Dublin 4","Dublin","€765,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","1 PARK HOUSE, WILLANS DR, ONGAR GREEN DUBLIN 15","Dublin 15","Dublin","€143,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","101 COOLEY RD, DRIMNAGH, DUBLIN 12","Dublin 12","Dublin","€290,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","11 WARRENMOUNT PLACE, BLACKPITTS, DUBLIN 8","Dublin 8","Dublin","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","120 DOWLAND RD, WALKINSTOWN, DUBLIN 12","Dublin 12","Dublin","€307,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","14 Willow House, Silverbanks, Baldoyle","Dublin 13","Dublin","€219,512.20","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"04/01/2018","15 BROOKDALE RD, RIVERVALLEY, SWORDS","","Dublin","€246,346.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","16 CRESTFIELD AVE, WHITEHALL, DUBLIN 9","Dublin 9","Dublin","€460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","16 Grace Park Grove, Grace Park Wood, Grace Park Road","Dublin 9","Dublin","€453,744.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2018","16 ST JOSEPHS SQ, CLONTARF, DUBLIN 3","Dublin 3","Dublin","€395,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","180 BEAUVALE PARK, ARTANE, DUBLIN 5","Dublin 5","Dublin","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","21 CAIRNWOOD COURT, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","21 THE PARK, BEAUMONT WOODS, BEAUMONT DUBLIN 9","Dublin 9","Dublin","€420,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","24 Stratton Drive, Adamstown Square, Adamstown","","Dublin","€255,506.60","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2018","28 HAZELWOOD COURT, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","32 ABBEY PARK, KILLESTER, DUBLIN 5","Dublin 5","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","32 Dodderbrook Drive, Dublin 24","Dublin 24","Dublin","€370,000.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"04/01/2018","35 Grace Park, Dromcondra, Dublin 9","","Dublin","€440,528.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"04/01/2018","365 CLOGHER ROAD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","€270,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","38 The Green, The Paddocks, Hansfield","Dublin 15","Dublin","€286,343.60","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2018","39 THE RED MILL, NORTH BRUNSWICK ST, DUBLIN 7","Dublin 7","Dublin","€203,778.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","40A ARAS NA CLUAINE, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","43 SILCHESTER PARK, GLENAGEARY, DUBLIN","","Dublin","€700,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","5  Willow House, Silverbanks, The Coast","Dublin 13","Dublin","€140,969.16","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2018","61 BROOKFIELD EST, KIMMAGE CROSS RD, DUBLIN 12","Dublin 12","Dublin","€445,000.00","No","No","Second-Hand Dwelling house /Apartment",""
