Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2013","11 Whites Gate, White's Road, Castleknock","","Dublin","€700,352.42","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"02/01/2013","13 Crosforge, Saggart, Co Dublin","","Dublin","€180,616.74","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/01/2013","2 Barnwell Terrace, Hansfield, Dublin 15","","Dublin","€147,974.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/01/2013","3 Stocking Wood Green, Stocking Avenue, Rathfarnham","","Dublin","€280,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/01/2013","56 Bargy Road, East Wall","Dublin 3","Dublin","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","59 Corr Castle, Howth Road, Sutton","","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","6 Harrisons cove, skerries, county dublin","","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","69 Sarsfield Park, Lucan","","Dublin","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","91 sillogue gardens, ballymun, dublin","Dublin 11","Dublin","€96,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2013","Apt 18, Chapelhill, Chapelizod","Dublin 20","Dublin","€175,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/01/2013","29A, ST KEVINS VILLAS, SALLYNOGGIN","","Dublin","€101,540.79","Yes","No","Second-Hand Dwelling house /Apartment",""
"03/01/2013","46 Seville Place, Dublin 1","","Dublin","€96,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2013","58  the Grove, Millbrook Lawns, Tallaght","","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2013","75 Foxrock Avenue, Foxrock","Dublin 18","Dublin","€420,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2013","82 St Peters Crescent, Walkinstown","Dublin 12","Dublin","€194,800.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2013","APARTMENT 57, FORTFIELD SQUARE, TERENURE","Dublin 6w","Dublin","€290,748.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/01/2013","Apt 68 Achill Square, Snugborugh Road  Waterville, Blanchardstown","Dublin 15","Dublin","€129,515.41","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/01/2013","No 4 The Ailesbury, Donnybrook Castle, Stillorgan Road  Dublin 4","","Dublin","€207,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2013","14 Castletimon Gardens, Kilmore West","Dublin 5","Dublin","€58,300.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2013","16 Glenville Way, Castleknock, Dublin 15","Dublin 15","Dublin","€278,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2013","18 BAYSIDE BOULEVARD NORTH, SUTTON","","Dublin","€182,500.00","No","No","Second-Hand Dwelling house /Apartment",""
