Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2011","251 Clontarf Road, Clontarf","Dublin 3","Dublin","€108,532.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2011","22 St. Patrick's Park, Clondalkin","","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2011","46 Longmeadows, Islandbridge","Dublin 8","Dublin","€254,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2011","60 WOODSIDE, RATHFARNHAM, DUBLIN 14","Dublin 14","Dublin","€445,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2011","9 Shandon Crescent, Phibsboro, Dublin 7","","Dublin","€220,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2011","Apartment 24 Baltrasna House, Spencer Dock, North Wall Quay","Dublin 1","Dublin","€290,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","10 CATLEKNOCK RISE, CASTLEKNOCK","","Dublin","€328,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","13 Linenhall Terrace, Broadstone","Dublin 7","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","18 Castle Grove, Clontarf, Dublin 3","","Dublin","€720,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","191 Charlotte Quay Dock, Ringsend Road","","Dublin","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","2 Pembroke Cottages, Ringsend, Dublin 4","Dublin 4","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","282 Clonard Road, Crumlin","Dublin 12","Dublin","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","33 Kings Avenue, Dubiln 3","","Dublin","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","38 Kilmore Avenue, Coolock","Dublin 5","Dublin","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","50 Gracepark Road, Drumcondra","Dublin 1","Dublin","€300,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","73 St Jarlath Road, Cabra","Dublin 7","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","73 St Jarlath Road, Cabra","Dublin 7","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","11 Boroimhe Hazel, Swords","","Dublin","€425,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","12 Clonard Park, Sandyford Road, Dundrum","","Dublin","€410,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","13 Riversdale Court, Monkstown","","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","15A Riverside Drive, Rathfarnham, Dublin 14","","Dublin","€610,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","22 Shrewsbury Square, Sandymount","Dublin 4","Dublin","€530,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2011","35 Trinity Square, Townsend Street","Dublin 2","Dublin","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","4  Parkview Lawns, Clondalkin, Dublin 22","","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","46 Block E3 Ennis House, Clare Village Clare Hall, Dublin17","","Dublin","€158,546.25","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2011","50 The Grove, Millbrook Lawns, Tallaght","","Dublin","€223,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","90 St. Attracta's Road, Cabra, Dublin 7","","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","91 Carysfort Downs, Blackrock","","Dublin","€1,000,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","1 Heather Gardens, Portmarnock","","Dublin","€710,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","1 Raheen Crescent, Tallaght","","Dublin","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","114 Huntstown Avenue, Clonsilla","","Dublin","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","12 Lein Gardens, Harmonstown","","Dublin","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","13 Booterstown Wood, Booterstown Avenue, Booterstown","","Dublin","€259,911.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/01/2011","13 Library Road, Shankill, Co. Dublin.","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","2 Woodstown Way, Knocklyon","Dublin 16","Dublin","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","21 Moatfield Park, Artane, Dublin 5","","Dublin","€272,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","22 Waterside Court, Waterside, Swords Road","","Dublin","€392,775.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/01/2011","239 Collinswood, Collins Avenue","Dublin 9","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","25 Brookville Park, Blackrock, Co. Dublin","","Dublin","€453,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","3 Great Commons, Lusk Village, Lusk","","Dublin","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","36 Old County Road, Crumlin","Dublin 12","Dublin","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","38 Hollyville Lawn, Palmerstown","Dublin 20","Dublin","€351,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","43 Cedar Place, The Cedars, Rathingle Swords","","Dublin","€154,185.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/01/2011","46 Woodley Park, Kilmacud, Dublin","","Dublin","€523,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","46 Woodley Park, Kilmacud, Dublin","","Dublin","€523,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","51  Cedar Place, The Cedars, Rathingle  Swords","","Dublin","€179,823.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/01/2011","61 Walkinstown Park, Walkinstown","Dublin 12","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","64 East Priory, Navan Road, Dublin 7","Dublin 7","Dublin","€297,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","68 castlefield woods, clonsilla","Dublin 15","Dublin","€288,750.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","88 Errigal Road, Drimnagh","","Dublin","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","91 Bow Bridge Place, Kilmainham, Dublin 8","","Dublin","€138,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","92 Drumfinn Road, Ballyfermot","","Dublin","€178,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","Apartment 1G, Beaumont House, Terenure Road East","Dublin 6","Dublin","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","Apt 30 The Green, Kensington Lodge  Rochestown Ave, Dun Laoghaire","","Dublin","€286,343.60","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/01/2011","110 Laraghcon, Lucan, Co Dublin","","Dublin","€460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2011","134 dolphin road, drimnagh","Dublin 12","Dublin","€228,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2011","16 SEABURY PLACE, MALAHIDE","","Dublin","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2011","175 Forest Hills, Rathcoole","","Dublin","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2011","28 Weavers Hall, The Gallops","","Dublin","€202,643.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
