SMALL_AREA,OBJECTID,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,GEOGID,ESRI_OID,Shape__Are,Shape__Len,Cluster
267084018,11554,4c07d11e-1b97-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3014,267084,Firhouse Village,267084018,A267084018,11554,7.77E-06,0.014800003,5
267085005/267085009,11555,4c07d11e-1ba1-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3012,267085,Firhouse-Ballycullen,267085005/267085009,A267085005/267085009,11555,1.30E-05,0.021079317,2
267085013,11556,4c07d11e-1ba2-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3012,267085,Firhouse-Ballycullen,267085013,A267085013,11556,7.64E-06,0.017719288,5
267035014,11557,4c07d11e-1b53-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3003,267035,Bohernabreena,267035014,A267035014,11557,1.26E-05,0.016303275,5
267035009,11558,4c07d11e-1b54-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3003,267035,Bohernabreena,267035009,A267035009,11558,1.11E-05,0.018354534,3
267112009,11559,4c07d11e-1bc9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3021,267112,Rathcoole,267112009,A267112009,11559,7.53E-06,0.015388169,4
267112014,11560,4c07d11e-1bca-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3021,267112,Rathcoole,267112014,A267112014,11560,1.41E-05,0.018612409,4
267084016,11561,4c07d11e-1b78-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3014,267084,Firhouse Village,267084016,A267084016,11561,4.77E-06,0.01779348,2
267084013,11562,4c07d11e-1b87-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3014,267084,Firhouse Village,267084013,A267084013,11562,6.52E-06,0.010586581,2
267084015,11563,4c07d11e-1b95-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3014,267084,Firhouse Village,267084015,A267084015,11563,3.86E-06,0.012840927,2
267143025,11564,4c07d11e-21cf-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3035,267143,Tallaght-Kiltipper,267143025,A267143025,11564,5.45E-06,0.014281137,5
267084027,11569,4c07d11e-1b55-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3014,267084,Firhouse Village,267084027,A267084027,11569,1.03E-05,0.017641826,5
267084002,11570,4c07d11e-1b76-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3014,267084,Firhouse Village,267084002,A267084002,11570,9.67E-06,0.018082003,5
267084021,11571,4c07d11e-1b77-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3014,267084,Firhouse Village,267084021,A267084021,11571,8.13E-06,0.017005261,2
267084008,11572,4c07d11e-1b79-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3014,267084,Firhouse Village,267084008,A267084008,11572,4.36E-06,0.013692791,5
267084011,11573,4c07d11e-1b84-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3014,267084,Firhouse Village,267084011,A267084011,11573,3.93E-06,0.009242183,5
267084012,11574,4c07d11e-1b85-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3014,267084,Firhouse Village,267084012,A267084012,11574,4.77E-06,0.010621355,5
267035004,11575,4c07d11e-21c7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3003,267035,Bohernabreena,267035004,A267035004,11575,5.12E-06,0.012611353,2
267143017,11576,4c07d11e-1b4e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3035,267143,Tallaght-Kiltipper,267143017,A267143017,11576,5.25E-06,0.015063218,5
267143015,11577,4c07d11e-1b4f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3035,267143,Tallaght-Kiltipper,267143015,A267143015,11577,4.33E-06,0.013400309,5
267143016,11578,4c07d11e-21d0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3035,267143,Tallaght-Kiltipper,267143016,A267143016,11578,8.77E-06,0.01315973,5
267143014,11579,4c07d11e-1b50-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3035,267143,Tallaght-Kiltipper,267143014,A267143014,11579,3.83E-06,0.01401989,5
267143010,11580,4c07d11e-1b51-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3035,267143,Tallaght-Kiltipper,267143010,A267143010,11580,1.37E-05,0.018934127,5
267141008,11584,4c07d11e-2266-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3033,267141,Tallaght-Killinardan,267141008,A267141008,11584,5.04E-06,0.011842727,6
267143006,11585,4c07d11e-21c4-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3035,267143,Tallaght-Kiltipper,267143006,A267143006,11585,5.69E-06,0.014511841,6
267143020,11586,4c07d11e-21c5-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3035,267143,Tallaght-Kiltipper,267143020,A267143020,11586,2.15E-06,0.009408991,6
267140025,11587,4c07d11e-1bf3-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,SD,South Dublin,3032,267140,Tallaght-Jobstown,267140025,A267140025,11587,3.41E-06,0.007899082,2
