SMALL_AREA,Cluster
267118030,5
267002037,4
267003015,4
267003007,4
267002029,5
267065009,5
267118003,5
267118017/02,2
267003016,3
267003006,4
267002025,3
267112003,3
267083004,5
268038003,2
268040003/01,2
268038002,6
268144010,4
268094010,3
268094013,3
268094014,3
267151007,4
267152002,4
267150003,4
267035007,5
267085024,2
267141007,6
267143003,6
267084019,5
267140032,6
267140045,2
267084014,5
267084018,5
267085005/267085009,2
267085013,5
267035014,5
267035009,3
267112009,4
267112014,4
267084016,2
267084013,2
267084015,2
267143025,5
267084027,5
267084002,5
267084021,2
267084008,5
267084011,5
267084012,5
267035004,2
267143017,5
267143015,5
267143016,5
267143014,5
267143010,5
267141008,6
267143006,6
267143020,6
267140025,2
267035003,5
267112015,4
267112005/01,5
267140011,6
267107013,2
267112010,4
267112004,5
267112006,5
267140013,6
267140014,5
267140002,5
267119007,5
267140026,5
267119005,2
267140055/01,2
267138003,6
267138015,2
267119004/01,2
267140008,5
267141001,6
267140019,6
267140018,6
267112008/01,2
267140005,2
267140009,2
267140052,6
267143021,4
267141003,6
267035005,5
267017008,4
267128002,4
267129002,4
267039010,4
267020012,4
267023005,4
267023003,4
267081006,4
267082001,4
267082002,4
267138019,6
267138007,6
267138009,6
267138010,6
267115016,5
267152004,4
267149005,4
268040001,6
268040007,6
268040006,6
268038006,6
267051014/01,5
268039001,6
267155006,2
268039002,6
268039007,3
268039005,6
268095002,3
268061004,6
268039003,3
268054006,3
268090004,3
268092007,6
268090005,3
268091009,3
268137010,7
268091011,3
267115007,4
267115008,4
268061005,3
268061007,3
268061006,3
268061009,3
268095001,6
268095006,3
268079008,3
268051004,5
268078004,1
268095005,6
268095003,3
268095004,3
268095009,3
268156007,3
268156008,3
268146005,4
267117012,4
267117005,4
267050025,5
267050024,5
267050027,5
267050030,5
267050034,5
267157001,3
268083002,3
267155008,4
267156009,4
267156008,4
267155003,4
267156001,4
268156001,3
268094002,4
268054012,3
267156011,4
267150006,7
268094012,7
268094001,3
268092003,3
268144009,7
268137002,7
268137001,7
268084001,3
268144015,7
268132008,7
268051012,3
267115005,4
267154001,4
267154005,4
268090002,3
268094007,3
268094011,7
268093002,5
268093003,6
268093004,6
268093001,3
268054004,3
268056010,2
268136004,7
268093010,3
267157006,3
267113003,4
267149010,4
267154003,4
267154004,4
267154002,4
