date,Dublin City,South Dublin,Fingal,Dun Laoghaire- Rathdown
1995,33,5,7,5
1996,33,4,7,6
1997,34,4,6,8
1998,34,5,7,7
1999,32,7,7,6
2000,32,7,7,6
2001,33,6,7,6
2002,33,6,7,6
2003,35,6,7,7
2004,34,6,7,7
2005,34,6,6,7
2006,32,6,6,7
2007,32,6,6,7
2008,31,6,6,8
2009,31,6,6,8
2010,33,6,6,8
2011,32,7,6,9
2012,30,8,6,11
2013,30,9,5,11
2014,30,9,5,11
2015,30,9,5,11
2016,30,9,3,11
2017,28,9,3,10
2018,28,9,3,10
