date,Dublin City,South Dublin,Fingal,Dun Laoghaire- Rathdown
1995,51737,32856,24421,17643
1996,50629,31691,23985,17701
1997,49819,30884,23755,17741
1998,48699,29817,23593,17919
1999,47812,29109,23096,17588
2000,46676,28206,22759,17246
2001,45550,27544,22495,16982
2002,45067,27410,22362,16946
2003,44583,27413,22730,16885
2004,44286,27476,23266,16642
2005,43679,27660,23787,16142
2006,43706,27979,25036,16170
2007,43765,28661,26455,16217
2008,43911,29423,27842,16180
2009,43652,30212,29291,16441
2010,43404,30771,30667,16524
2011,43275,31344,31489,16911
2012,43367,31963,32814,17330
2013,43929,32953,34393,17814
2014,45247,33733,35072,18490
2015,45950,34546,35891,18929
2016,47319,34570,36619,19569
2017,47812,35401,37312,19808
2018,48384,36016,38129,20286
