ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
195,Lusk Town Centre (combined Mother/Child space Disabled parking) Super Valu,STONE MASONS CLOSE,,3,TRUE,TRUE,TRUE,TRUE,"Chemist, Supermarket",53.52649999,-6.16416589
196,Malahide Castle Carpark,BACK ROAD,,2, , ,TRUE, ,Park,53.44008268,-6.16542367
197,Malahide Castle Carpark,BACK ROAD,,2, , ,TRUE, ,Park,53.44008733,-6.165376747
198,Malahide Castle Carpark (nr Childrens Playground),MALAHIDE DEMESNE,,4, , ,TRUE, ,Park,53.44353864,-6.162918039
199,Malahide Castle Carpark (nr Childrens Playground),MALAHIDE DEMESNE,,4, , ,TRUE, ,Park,53.4435416,-6.162973813
200,Malahide Castle Carpark (nr Childrens Playground),MALAHIDE DEMESNE,,4, , ,TRUE, ,Park,53.4436271,-6.162959867
201,Malahide Castle Carpark (nr Childrens Playground),MALAHIDE DEMESNE,,4, , ,TRUE, ,Park,53.44362582,-6.162905575
202,Malahide Castle Carpark (nr Childrens Playground),MALAHIDE DEMESNE,,2, , ,TRUE, ,Park,53.44391551,-6.161863989
203,Malahide Castle Carpark (nr Childrens Playground),MALAHIDE DEMESNE,,2, , ,TRUE, ,Park,53.4439209,-6.161918829
204,Lusk Community Centre,ACCESS TO HELTH CENTRE,,2, , ,TRUE, ,Community Centre,53.52360092,-6.158616397
205,Lusk Community Centre,ACCESS TO HELTH CENTRE,,2, , ,TRUE, ,Community Centre,53.52361074,-6.158674919
206,Malahide Castle,DUBLIN ROAD,,2, , ,TRUE,TRUE,Park,53.4500339,-6.157095213
207,Outside Malahide Train Station,DUBLIN ROAD,,1,TRUE, ,TRUE,TRUE,Train,53.45041181,-6.155958678
208,Malahide Train Station,RAILWAY AVENUE,,5, , ,TRUE,TRUE,Train,53.45076086,-6.156313511
209,Malahide Train Station,RAILWAY AVENUE,,5, , ,TRUE,TRUE,Train,53.45079346,-6.15631176
210,Malahide Train Station,RAILWAY AVENUE,,5, , ,TRUE, ,Train,53.45081735,-6.15630915
211,Malahide Train Station,RAILWAY AVENUE,,5, ,TRUE,TRUE, ,Train,53.45084121,-6.156311851
212,Malahide Train Station,RAILWAY AVENUE,,5, , ,TRUE, ,Train,53.45087275,-6.156311492
213,Malahide Marina,MALAHIDE MARINA VILLAGE,,1, , ,TRUE, ,Marina,53.45589435,-6.154692239
214,Malahide Marina,MALAHIDE MARINA VILLAGE,,1, , ,TRUE, ,Marina,53.45565244,-6.154464206
215,Malahide Marina,MALAHIDE MARINA VILLAGE,,2, ,TRUE,TRUE, ,Cruzzo's Restaurant,53.45522261,-6.15425537
216,Malahide Marina,MALAHIDE MARINA VILLAGE,,2, ,TRUE,TRUE, ,Marina,53.45522469,-6.154303584
217,Outside Starbucks,MALAHIDE MARINA VILLAGE,,1, , ,TRUE, ,"Newsagents, Cafe",53.4522275,-6.153998788
218,Outside Starbucks,STRAND STREET,,1, ,TRUE,TRUE, ,Cafe,53.4521274,-6.154136817
219,Outside Foodware Store,OLD STREET,,1, ,TRUE,TRUE,TRUE,Cafe,53.45195669,-6.154996397
220,Outside Smyths Pub,NEW STREET,,1, , ,TRUE, ,"Health Centre, Pub",53.45102927,-6.153783543
221,Outside Vinny Vanucchi's Restaurant,CHURCH ROAD,,1, , ,TRUE,TRUE,"Hairdressers, Restaurant",53.44994259,-6.153516338
222,Outside The Village Newsagent,THE MALL,,1,TRUE,TRUE,TRUE,TRUE,"Newsagents, Supermarket, Bank",53.45089535,-6.152763125
223,Outside NIB,THE MALL,,1, , ,TRUE,TRUE,"Newsagents, Supermarket, Video Shop, Bank",53.45079142,-6.152964226
224,Malahide Library,NA,,1,TRUE,TRUE,TRUE, ,Library,53.45034104,-6.152410577
225,Outside Mal Seads,JAMES TERRACE,,1,TRUE, ,TRUE,TRUE,"Sports Club, Tennis Club",53.4517898,-6.151384565
226,Portmarnock Train Station,STATION ROAD,,8, , ,TRUE, ,Train,53.41814932,-6.150505126
227,Portmarnock Train Station,STATION ROAD,,8, ,TRUE,TRUE, ,Train,53.41814552,-6.150463938
228,Portmarnock Train Station,STATION ROAD,,8, , ,TRUE, ,Train,53.41814502,-6.150425538
229,Portmarnock Train Station,STATION ROAD,,8, , ,TRUE, ,Train,53.41814256,-6.150374227
230,Portmarnock Train Station,STATION ROAD,,8, ,TRUE,TRUE, ,Train,53.41813969,-6.150323377
231,Portmarnock Train Station,STATION ROAD,,8, , ,TRUE, ,Train,53.41813618,-6.150291959
232,Portmarnock Train Station,STATION ROAD,,8, , ,TRUE, ,Train,53.41813267,-6.150252773
233,Portmarnock Train Station,STATION ROAD,,8, , ,TRUE, ,Train,53.41813074,-6.150209996
234,Grand Hotel Malahide,GROVE ROAD,,1, ,TRUE,TRUE,TRUE,Hotel,53.45066658,-6.147999945
235,Grand Hotel Malahide,BATH AVENUE,,2, , ,TRUE, ,Hotel,53.45016825,-6.146837028
236,Grand Hotel Malahide,BATH AVENUE,,2, , ,TRUE, ,Hotel,53.45016257,-6.146762942
237,Grand Hotel Malahide,BATH AVENUE,,2, , ,TRUE, ,Hotel,53.45039345,-6.147104371
238,Grand Hotel Malahide,BATH AVENUE,,2, , ,TRUE, ,Hotel,53.45040167,-6.147175433
239,Rush & Lusk Train Station,Rush Road,,3, ,TRUE,TRUE, ,Train,53.52084216,-6.143535169
240,Rush & Lusk Train Station,Rush Road,,3, ,TRUE,TRUE, ,Train,53.5208617,-6.143515475
241,Rush & Lusk Train Station,Rush Road,,3, ,TRUE,TRUE, ,Train,53.52087921,-6.143498287
242,Donabate/Portrane Community Centre,PORTRANE ROAD,,4,TRUE,TRUE,TRUE, ,Community Centre,53.48974571,-6.142769943
243,Donabate/Portrane Community Centre,PORTRANE ROAD,,4,TRUE,TRUE,TRUE, ,Community Centre,53.48978906,-6.142692299
244,Donabate/Portrane Community Centre,PORTRANE ROAD,,4,TRUE,TRUE,TRUE, ,Community Centre,53.48977047,-6.142726911
245,Donabate/Portrane Community Centre,PORTRANE ROAD,,4,TRUE,TRUE,TRUE, ,Community Centre,53.48972581,-6.142820093
246,Malahide Coast Carpark,COAST ROAD,,2, , ,TRUE, ,Beach,53.45003413,-6.138702162
