M01 Between Jn01 M50/M01 and Jn02 Dublin Airport	000000001014	TMU M01 000.0 N	NRA	NRA_000000001014	53.4178	-6.2229400000000004
N20 Between Blarney and Mallow, Lissavoura, Co. Cork	000000020204	TMU N20 020.0 S	NRA	NRA_000000020204	52.033569999999997	-8.6079000000000008
N17 Between Tuam and Claremorris, Kilcloony, Co. Galway	000000001171	TMU N17 080.0 N	NRA	NRA_000000001171	53.590719999999997	-8.8669600000000006
N22 Between Killarney and N22/R569 Jn, Islandmore, Co. Kerry	000000001222	TMU N22 070.0 E	NRA	NRA_000000001222	52.002809999999997	-9.3444299999999991
M02 Between Jn02 St. Margrets and Jn03 Ashbourne (South), Ashbourne, Co. Meath	000000020022	TMU M02 010.0 N	NRA	NRA_000000020022	53.484029999999997	-6.3779500000000002
N13 Between Bridgend and Burnfoot, Co. Donegal	000000001131	TMU N13 040.0 S	NRA	NRA_000000001131	55.04278	-7.3897000000000004
M07 Between Jn27 Birdhill and J28 Castletroy, Birdhill, Co. Tipperary	000000200721	TMU M07 170.0 W	NRA	NRA_000000200721	52.752850000000002	-8.4188600000000005
M07 Between Jn10 Naas South and Jn11 M7/M9, Lewistown, Co. Kildare 	000000020073	TMU M07 030.0 W	NRA	NRA_000000020073	53.183410000000002	-6.7355
M07 Jn17 Portlaoise to Jn18 Portlaoise West	000000003704	TMU M07 085.0 N	NRA	NRA_000000003704	53.019959999999998	-7.3333000000000004
N05 Between Westport and Castlebar, Doon, Co. Mayo	000000001051	TMU N05 130.0 E	NRA	NRA_000000001051	53.806339999999999	-9.4498499999999996
M18 Ennis North, Co. Clare	000000020181	TMU M18 060.0 N	NRA	NRA_000000020181	52.869590000000002	-8.9405300000000008
M07 Between Jn23 Moneygall and Jn24 Toomevara, Co. Offaly	000000200715	TMU M07 130.0 E	NRA	NRA_000000200715	52.883429999999997	-7.9752799999999997
N21 Castleisland Bypass, Dooneen, Co. Kerry	000000202104	TMU N21 065.0 N	NRA	NRA_000000202104	52.262340000000002	-9.4575200000000006
M09 Between Jn08 Kilkenny and Jn09 Kilkenny (South), Co. Kilkenny	000000020907	TMU M09 075.0 N	NRA	NRA_000000020907	52.628070000000001	-7.1534800000000001
N72 Between Killarney and Rathmore, Co. Kerry	000000001722	TMU N72 030.0 E	NRA	NRA_000000001722	52.057290000000002	-9.3651300000000006
R446 (Old N06) Between Loughrea and Ballinasloe, Cappataggle, Go. Galway	000000020067	TMU R446 120.0 E	NRA	NRA_000000020067	53.270690000000002	-8.3994
N22 Between Killarney and Macroom, Ballyvourney Co. Cork	000000020224	TMU N22 060.0 E	NRA	NRA_000000020224	51.956789999999998	-9.1903400000000008
N72 Between Fermoy and Ballyhooley, Castlehyde, Co. Cork	000000020721	TMU N72 120.0 E	NRA	NRA_000000020721	52.142919999999997	-8.3341999999999992
M11 Between M50/M11 and Bray North Jn, Bray, Co. Dublin	000000001113	TMU M11 010.0 N	NRA	NRA_000000001113	53.222079999999998	-6.12913
M07 Between Jn12 Newbridge and Jn13 Kildare, The Curragh, Co. Kildare	000000020075	TMU M07 040.0 E	NRA	NRA_000000020075	53.158799999999999	-6.8520799999999999
N55 Between Ballymahon and Edgeworthstown, Cartronfin, Co. Longford	000000001551	TMU N55 050.0 N	NRA	NRA_000000001551	53.594610000000003	-7.7169400000000001
M50 Between Jn16 Cherrywood and Jn17 M50/M11, Shankill, Co. Dublin	000000015012	TMU M50 040.0 N	NRA	NRA_000000015012	53.235720000000001	-6.1392100000000003
TME 11 M03 Jn09 to Jn10	000000003311	TMU M03 041.0 N	NRA	NRA_000000003311	53.648209999999999	-6.7499200000000004
N83 Between N17/N83 Jn and Ballyhaunis, Southeast of N17/N83 Jn, Co. Mayo	000000001832	TMU N83 040.0 S	NRA	NRA_000000001832	53.88194	-8.7901799999999994
TME 05 M03 Jn07 North-side Ramps 	000000003306	TMU M03 030.0 S	NRA	NRA_000000003306	53.599379999999996	-6.6157899999999996
N18 Between Limerick and Cratloe, Cratloe, Co. Clare	000000020184	TMU N18 090.0 N	NRA	NRA_000000020184	52.688420000000001	-8.7387800000000002
M1-3 M01 Northbound Jn07 to Jn08	000000003103	TMU M01 033.0 N	NRA	NRA_000000003103	53.666690000000003	-6.3403999999999998
N15 Lifford to Castlefinn, Inchenagh, Co. Donegal	000000001151	TMU N15 000.0 S	NRA	NRA_000000001151	54.812150000000003	-7.5205399999999996
M50 Between Jn02 Santry and Jn03 M50/M1	000000001012	TMU M50 000.0 N	NRA	NRA_000000001012	53.40305	-6.2335000000000003
N07 Between Jn07 Kill and Jn08 Johnstown, Kill, Co. Kildare	000000020071	TMU N07 020.0 E	NRA	NRA_000000020071	53.247169999999997	-6.5991
M08 Watergrasshill Jn17 to Jn18 Southbound	000000003802	TMU M08 130.7 S	NRA	NRA_000000003802	52.005209999999998	-8.3431200000000008
M50 Between Jn14 Dun Laoghaire and Jn15 Carrickmines, Cabinteely, Co. Dublin	000000015010	TMU M50 040.0 S	NRA	NRA_000000015010	53.262720000000002	-6.1935599999999997
N22 South of Carrigohane, Poulavone, Co. Cork	000000020223	TMU N22 010.0 W	NRA	NRA_000000020223	51.887140000000002	-8.5691100000000002
N51 Between Athboy and Navan, Rathmore, Co. Meath	000000001511	TMU N51 040.0 E	NRA	NRA_000000001511	53.644379999999998	-6.8756399999999998
N81 Between Tullow and N81/N80 Jn, Co. Carlow	000000020812	TMU N81 080.0 N	NRA	NRA_000000020812	52.738120000000002	-6.7460300000000002
N24 North of Cahir, Kilemly, Co. Tipperary	000000020242	TMU N24 060.0 E	NRA	NRA_000000020242	52.394730000000003	-7.9078299999999997
N02 Between Collon and Ardee, Hunterstown, Co. Louth	000000020023	TMU N02 060.0 N	NRA	NRA_000000020023	53.826120000000003	-6.5327999999999999
M20 Between Jn03 Ballycummin and Jn04 Patrickswell, Rootiagh , Co. Limerick	000000020203	TMU M20 095.0 N	NRA	NRA_000000020203	52.608600000000003	-8.6692099999999996
R147 (Old N03) Between Dunshaughlin and Dunboyne, Black Bull, Co. Meath	000000001037	TMU R147 000.0 S	NRA	NRA_000000001037	53.448599999999999	-6.4748799999999997
