Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,"""x"" East Coordinates","""y"" North Coordinates",TOTAL,Complete & occupied,Complete & vacant
Acorn Wood,Drumshanbo Road,Leitrim Village,Leitrim,595693,805069,11,3,4
The Waterfront,Main Street  ,Leitrim Village,Leitrim,595785,804799,60,47,5
Cluain Oir,Leitrim TD,Leitrim Village,Leitrim,595587,805003,40,5,2
John Flannagan Dev.,Leitrim TD,Leitrim Village,Leitrim,595790,804500,3, , 
Dun Carraig Ceibh,Tullylannan TD,Leitrim Village,Leitrim,595977,804084,35,15,8
Holly Park,Tullylannan TD,Leitrim Village,Leitrim,595769,804173,14,7,6
Cois Abhainne,Tullylannan TD,Leitrim Village,Leitrim,595785,804201,18,10,8
Glas No Habhainn,Attirory,Carrick on Shannon,Leitrim,594935,798730,28,7,1
Lis Cara,Drumshanbo Road,Carrick on Shannon,Leitrim,594372,800405,188,165,16
Shannon Grove Housing Dev.,Grove,Carrick on Shannon,Leitrim,593816,800575,49,40,3
Shannon Grove Apts & Tce,Grove,Carrick on Shannon,Leitrim,593904,800580,22,4,18
Corr Bui,Ballinamore Road,Aughnasheelin,Leitrim,609126,813282,6,,2
Michael O'Rourke Dev.,The Line,Ballinamore,Leitrim,612844,811383,10,,
Taobh Na Gcoillte,Kiltymoodan,Ballinamore,Leitrim,612702,811237,4,1,3
Station House,St Bridgids Street,Ballinamore,Leitrim,613019,811321,3,,
Gleann Dara,Tully,Ballinamore,Leitrim,613098,811238,8,2,4
Mixed Dev (Tesco below),Cannaboe,Ballinamore,Leitrim,613227,811428,37,,
Frank Maxwell Dev (Pairc Fi),Lahard,Ballinamore,Leitrim,613567,812012,37,24,8
Dun Na Bo,Willowfield Road,Ballinamore,Leitrim,613300,811272,31,27,1
The Willows,Willowfield Road,Ballinamore,Leitrim,613473,811527,23,4,5
Woodford Green,Ballinamore Road,Newtowngore,Leitrim,621158,810595,23,12,11
Woodrock Constr. Dev.,Newtowngore TD,Newtowngore,Leitrim,621151,810443,12,,12
Mill View Park,Mullyaster,Newtowngore,Leitrim,621100,810225,10,2,1
Gerard Corby Development,Mullyaster,Newtowngore,Leitrim,621076,810134,4,4,
Cluainn Alainn,Calloughs,Carrigallen,Leitrim,623104,803716,36,29,7
Cois Locha,Calloughs,Carrigallen,Leitrim,622957,803522,28,18,2
Church Manor,Bredagh TD,Carrigallen,Leitrim,623355,802447,26,18,8
Fairgreen,Bredagh TD,Carrigallen,Leitrim,623210,803009,11,5,6
Bramble Hill,Grovehill,Mohill,Leitrim,609161,796910,11,3,2
And Na Si,Shannagh,Mohill,Leitrim,608086,796659,23,7,16
Hyde Place,Hyde Street,Mohill,Leitrim,608807,796841,8,4,4
Conc Na Ri,Mullaghnameely,Fenagh,Leitrim,610877,808077,5,,
St Caillin's Place,Fenagh Beg,Fenagh,Leitrim,610500,807993,4,,4
St Caillin's View,Fenagh Beg,Fenagh,Leitrim,610504,807912,8,3,1
An Mhainistir,Fenagh Beg,Fenagh,Leitrim,610554,808009,5,3,2
Crannog,Keshcarrigan TD,Keshcarrigan,Leitrim,603699,807527,20,14,5
The Waterways,Keshcarrigan TD,Keshcarrigan,Leitrim,603556,807828,78,,4
Lakeview,Keshcarrigan TD,Keshcarrigan,Leitrim,603504,807544,24,10,12
Elysian Meadows,Summerhill,Carrick-on-Shannon,Leitrim,595205,800463,20,3,1
Rosebank Cove,Attirory,Carrick-on-Shannon,Leitrim,594841,799197,8,2,1
Priors Point,Attirory,Carrick-on-Shannon,Leitrim,594790,798915,38,1,4
Bothar Tighernan,Attirory,Carrick-on-Shannon,Leitrim,595213,799344,12,4,
Summer Haven,Summerhill,Carrick-on-Shannon,Leitrim,594044,799820,43,22,21
Oak Meadows,Drumsna TD,Drumsna,Leitrim,599812,797843,11,5,2
Grace Court,Clooncolry TD,Dromod,Leitrim,605544,790147,28,24,4
River Meadow,Clooncolry TD,Dromod,Leitrim,605548,789740,50,22,28
Dromod Golf Course Dev,Clooncolry TD,Dromod,Leitrim,605700,789809,27,,6
Millbrook,Dromod Beg TD,Dromod,Leitrim,605395,789806,11,6,1
Cuan Eislinne,Dromod Beg TD,Dromod,Leitrim,605377,789901,11,,11
Cul Na Sraide,Dromod Beg TD,Dromod,Leitrim,605209,789874,8,3,3
Macoisin Place,Dromod Beg TD,Dromod,Leitrim,605130,790136,40,18,2
Shannon Quays,Aghnahunshin,Rooskey,Leitrim,605445,786100,59,5,21
Portroosc,Georgia TD,Rooskey,Leitrim,605517,786974,17,13,
The Beeches,Knockmacrory,Rooskey,Leitrim,605454,787119,36,4,4
George McGarry Dev,Knockmacrory,Rooskey,Leitrim,605520,787185,7,,
B & B Construction Dev,Townparks,Carrick on Shannon,Leitrim,593883,800228,3,,
Ceol Na Mara,Ballantrillick Road,Cliffoney,Sligo,570689,853504,28,7,3
The Woods,Mullaghmore Road,Cliffoney,Sligo,570429,853624,8,3,1
The Meadows,New Grange TD,Grange,Sligo,565744,849643,38,35,3
Granary Drive,New Grange TD,Grange,Sligo,565865,849734,50,9, 
Grange Dale,N15,Grange,Sligo,565693,849228,18, , 
Oyster View,Rosses Upper,Rosses Point,Sligo,564145,839918,13, , 
Neighbourhood Centre,Caltragh,Sligo Town,Sligo,569017,834624,8,2,2
Ard Mor,Calry,Sligo Town,Sligo,571206,836897,87,0,18
Ard Finn,Strandhill Road,Sligo Town,Sligo,567905,836115,180,42,31
Sandy Cove,Larass,Strandhill,Sligo,562219,836192,27,25, 
Dorrins Strand,Larass,Strandhill,Sligo,561987,836058,124,58,44
Cois Farraige,Carrowbunnaun,Strandhill,Sligo,560300,835834,6, ,1
Clougher Court,Village Centre,Monasteradden,Sligo,567331,799385,13, ,1
Gurteen View,R294 (Tubbercurry Road),Gurteen,Sligo,565359,805432,146,43,7
Cois Na Habhann,R294 (Tubbercurry Road),Gurteen,Sligo,566067,804954,24,19,4
Not Assertained,R294 (Boyle Road),Gurteen,Sligo,566423,804769,19,2,2
Davitt Court,Rathmadder,Gurteen,Sligo,565929,805202,52, , 
Ougham Bawn,Boyle Road,Tubbercurry,Sligo,553227,811472,5,2, 
The Fairways,Boyle Road,Tubbercurry,Sligo,553498,811766,142,90,16
Maiden Crescent,Masshill Road,Tubbercurry,Sligo,552001,812080,15,8, 
Not Assertained,Masshill Road,Tubbercurry,Sligo,552122,812056,5, , 
Springvale Heights,Sligo Road,Tubbercurry,Sligo,552703,812157,122,109,13
Ox Crescent,Charlestown Road,Tubbercurry,Sligo,551728,811349,44,30, 
Parklands Crescent,Sligo Road,Tubbercurry,Sligo,552484,812349,73,66,6
Whitethorne Place,Ballina Road,Tubbercurry,Sligo,551120,811680,6,3,3
Cnoc Na Si,Ballina Road,Tubbercurry,Sligo,551214,811833,48,23,25
Coill Dara,Ballina Road,Tubbercurry,Sligo,551435,811546,37,31,3
Cois Abhainn,Cloonaughhill,Bellahy,Sligo,547688,802524,9,5,4
Kenneth O'Brien Development,Main Street,Bellahy,Sligo,547846,802310,10,8,2
Knocksville Manor,Cloonaughhill,Bellahy,Sligo,547571,802370,45,29,5
Seamus Beirne Development,Main Street,Curry,Sligo,549289,806061,3,2,1
Seamus Brett Development,Main Street,Curry,Sligo,549212,805892,4, , 
Philip Browne Development,Main Street,Aclare,Sligo,541064,810030,4, , 
Flowerhill,Flowerhill,Bunnanaddan,Sligo,560584,811945,21,19,2
Owenmore Paddock,N17,Ballinacarrow,Sligo,563308,820607,40,8, 
Temple Manor,N17,Ballinacarrow,Sligo,563074,820371,31,27,4
Avena Mill Apartments,Knockmuldowney,Ballisodare,Sligo,566765,829359,66, ,66
Oakbridge,Kilboglashy,Ballisodare,Sligo,566459,829072,16,1,1
Carraig Abhainn,Knoxpark,Ballisodare,Sligo,566839,828760,97,1,12
Kingsfort Manor,R290,Ballintogher,Sligo,575969,827810,36,22,9
The Fairways,Sligo Road,Ballygawley,Sligo,570689,827049,17,0,1
The Mews,Emmett Street,Ballymote,Sligo,566381,815614,8,4,4
Patrick Mullen Development,Keenaghan,Ballymote,Sligo,566564,815346,9,0,5
Newtown Park,Keenaghan,Ballymote,Sligo,566535,815280,19,1, 
The Downs,Keenaghan,Ballymote,Sligo,566527,815033,51,1,6
Mill Race View,Wolfe Tone Street,Ballymote,Sligo,566418,815361,8,3,5
Tower Hill,Carrownanty,Ballymote,Sligo,565711,815665,55,50,5
Woodbrook,Cloonshanbally,Culfadda,Sligo,568935,808591,13,7,1
John Meehan Development,Cloonshanbally,Culfadda,Sligo,568629,808795,2, , 
Padraig Healy Development,Gortalough,Ballinafad,Sligo,578253,808723,5,3,2
Lis Rua,Gortalough,Ballinafad,Sligo,578431,808608,8,7,1
Dromroe,Village Centre,Castlebaldwin,Sligo,575106,814390,36,15,6
Meadowbank,R284,Geevagh,Sligo,583418,816949,13,9,3
Ashwoods,R284,Geevagh,Sligo,583527,816716,27,12,8
Edmund Higgins Development,Village Centre,Ballintogher,Sligo,576203,827979,8,0,5
Avena Mixed Use Development,Village Centre,Ballisodare,Sligo,566942,829252,80, , 
Fairgreen/Youngs Rd/Union Walk/River Oaks,Village Centre,Ballisodare,Sligo,566951,829087,157,53,97
Kincastle Construction Development,Ardkeeran,Riverstown,Sligo,574223,819973,33,28,1
Brookfort,Ardcumber,Riverstown,Sligo,574179,820656,14,12,2
Iny Grove,Knockbeg West,Collooney,Sligo,567063,825530,64,3,7
Bru Na Habhainn,Collooney,Collooney,Sligo,567803,825629,32,3,5
Abhainn Mor,Collooney,Collooney,Sligo,567768,825690,56,53,3
Rockfield Manor,Shancough,Coolaney,Sligo,559332,824424,36,32,4
Forthaven,Carrownacleigha,Coolaney,Sligo,560245,824572,90,51,1
Coolaney Town Centre,Carrownacleigha,Coolaney,Sligo,560462,824793,14,3,11
Woodstream,Carrownacleigha,Coolaney,Sligo,560270,824405,85,44,13
Fairgreen ,Coolaney TD,Coolaney,Sligo,560789,825186,63,46,17
Village Square,Barrack Road,Collooney,Sligo,567848,826221,14,7,7
Rath Oise,Rathosey,Coolaney,Sligo,560611,825496,24,11,1
Cahermore Holiday Village,Carrowhabbock South,Enniscrone,Sligo,528786,830831,77,44,8
Mixed Dev by Michael O'Dowd,Pier Road,Enniscrone,Sligo,528853,830025,7, , 
Marella Holiday Homes,Bartragh,Enniscrone,Sligo,528071,829074,50,22,28
Tommy Casey 5 unit Dev,Easky Road,Dromore West,Sligo,542916,833807,5, , 
Res. Dev Dromore West,Easky Road,Dromore West,Sligo,542631,833961,14,12,2
Fairgreen,Dromore TD,Dromore West,Sligo,542700,833541,61, , 
John Molloy Development,Connaughton Road,Sligo Town,Sligo,569225,836219,27,13,14
Swan Point,Fish Quay,Sligo Town,Sligo,569068,836165,54, , 
Old Mill,Union Street,Sligo Town,Sligo,568725,836162,21,10,11
City Gate,Mail Coach Road,Sligo Town,Sligo,569236,835486,114,57,57
Castlewood House,Rockwood Parade,Sligo Town,Sligo,569241,835923,21,11,10
Oyster Bay,Rosses Upper,Rosses Point,Sligo,564234,839999,50,34,12
Carbury Cove,First Sea Road,Sligo Town,Sligo,567228,836867,16,3,1
Brooklawns,First Sea Road,Sligo Town,Sligo,567100,836488,107,88, 
White Strand,Aylesbury Park,Sligo Town,Sligo,566697,836262,7,1,4
The Hawthorns,Carraroe,Sligo Town,Sligo,569529,833570,122,96,13
Not Assertained,Top Road,Strandhill,Sligo,561129,835571,12, , 
Waterside Lane,Larass,Strandhill,Sligo,562108,836165,19,13,2
Earls Court,Stoneparks & Earlsfield,Ballymote,Sligo,566160,816153,73,10, 
Cois Na Dun,Carrownanty,Ballymote,Sligo,565803,815833,20,2,1
Brookfield Close,Ardkeeran,Riverstown,Sligo,574224,820208,12,1,11
Ard Laighne,Coolaney TD,Coolaney,Sligo,560966,824820,51,37,6
WYSES HILL,SUNDAYS WELL RD,CORK,Cork City,566597,572188,30,0,3
THE TOWER,TOWER ST,CORK,Cork City,567274,571227,14,4,8
EDEN,BLACKROCK,BLACKROCK,Cork City,571708,571392,650,159,2
SILVERPOINT,SILVERSPRINGS,SILVERSPRINGS,Cork City,571138,573238,8,4,4
BELFIELD,BOREENAMANA RD,BOREENAMANA RD,Cork City,569372,571141,65,29,36
KILBRACK GROVE,BLACKROCK,BLACKROCK,Cork City,571067,570585,40,30,10
ELYSIAN,EGLANTINE STREET,CORK,Cork City,568108,571699,211,34,177
Orchard Gardens,Yarlington & Brambly Apts,Dennehys Cross,Cork City,565180,570920,139,67,15
Glentrasna,Glen Avenue ,The Glen,Cork City,567885,573184,108,80,28
Ard Sionnach,Shanakiel,Shanakiel,Cork City,564722,571952,207,184,23
Monastery Lane,Blarney St.,Cork City,Cork City,565293,572464,20,17,3
Coppingers Acre,Bantry Park Road,Cork City,Cork City,566213,573259,75,44,31
Spring Lane ,Blackpool,Cork City,Cork City,567803,573710,3, , 
Shandon St,Shandon St,Cork City,Cork City,567042,572381,6, , 
City Square,Watercourse Road,Blackpool,Cork City,567300,572813,147,127,20
Blackpool Street,Blackpool,Blackpool,Cork City,567500,573476,2, , 
CORRIN CLOSE,GLEN AVE,CORK,Cork City,568160,573310,16,0,0
ASHMOUNT MEWS,SILVERSPRINGS,CORK,Cork City,571047,572797,137,46,35
HYDE PARK,TORY TOP RD,BALLYPHENE,Cork City,567661,570328,50,0,0
Highfield Ave.,College Road,Cork City,Cork City,565993,571161,2, , 
Tannery Gardens,Farranree,Cork City,Cork City,567231,573514,34, ,24
HARBOUR HEIGHTS,ROCHESTOWN RD,PASSAGE WEST,Cork Co,575754,569265,596,114,26
DRAKES POINT ,CROSSHAVEN,CROSSHAVEN,Cork Co,579781,560745,233,1,9
CLUAIN ARD (Final Phase),COBH,COBH,Cork Co,578608,567119,140,4,2
ARD NA RI,BALLYVOLANE,BALLYVOLANE,Cork Co,570258,574205,40,21,19
LIOS RUA,BALLYVOLANE,BALLYVOLANE,Cork Co,569729,573994,120,104,16
Bridgefield,curraheen,Bishopstown,Cork Co,562669,569129,108,71,4
Fairfield Meadows,Gurranabraher,Cork City,Cork Co,565885,573979,74,64,10
Nashes Boreen,Gurranabraher,Cork City,Cork Co,565834,573879,17, , 
Derrigra Enniskeane,Enniskeane,Enniskeane,Cork Co,535372,554200,12, ,12
Ceol Na Mara ,Owenahincha,Rosscarbery,Cork Co,530291,535482,11,8,3
Downeen Road, ,Rosscarbery,Cork Co,528174,536371,12, ,12
Dove Lane, ,Union Hall,Cork Co,520645,534341,2, ,2
Cois Atha,Baltimore Rd,Skibbereen,Cork Co,511980,533268,5,2, 
Carraig Naofa,Carrigboy,Durrus,Cork Co,494451,542135,24,0,4
Brian O Sullivan,Ard Carraig,Durrus,Cork Co,494147,541974,4,1,3
Radharc Alainn, ,Killcrohane,Cork Co,481758,538183,7,6,1
Bantry Rd, ,Killcrohane,Cork Co,481850,537988,6, ,6
Fan Mor,Cois Farraige,Killcrohane,Cork Co,481935,538019,16,14,2
An Glachan, ,Killcrohane,Cork Co,481785,537805,9,4,5
 Crookhaven Rd,Crookhaven Rd,Goleen,Cork Co,481118,527943,9, ,9
Copperpoint ,Airhill,Schull,Cork Co,492308,531549,55,45, 
 Unknown,,Schull,Cork Co,492186,532345,2, ,2
Eri Na greine, ,Ballydehob,Cork Co,498540,535259,11, ,11
Church Rd , ,Ballydehob,Cork Co,498293,535539,3, ,3
Rosewood Manor,Church Hill,Innishannon,Cork Co,554406,557448,15,2,3
Barr na Claisse,Church Hill,Innishannon,Cork Co,554605,557499,87,11,13
Ard Aoibhinn,Church Hill,Innishannon,Cork Co,554617,557594,52,19,23
 Lissagroom Meadows, ,Crossbarry,Cork Co,555193,561105,66,9, 
The Meadows,Kilbarry Rd,Dunmanway,Cork Co,522396,552032,35,4,19
Dun Orga, ,Dunmanway,Cork Co,523823,553266,36,31,5
Ros Geal,Tonafora,Dunmanway,Cork Co,522779,551746,60,23,9
 Moneview,Tonafora,Dunmanway,Cork Co,522376,551873,23,14, 
Riverway,Pearsons Bridge,Ballylickey,Cork Co,502149,554936,28,14,1
Reendessert , ,Ballylickey,Cork Co,500173,553161,8, ,8
The Miles , ,Clonakilty,Cork Co,536965,540852,87,32,5
Opposite Church, ,Newmarket,Cork Co,531738,607263,5, ,5
Renmeen Woods,Renmeen,Glengariffe,Cork Co,493613,556850,27,11,16
Power Site,Adrigole,Adrigole,Cork Co,480493,550273,3, , 
Mariners View,,Castletownbere,Cork Co,468910,546648,78,31,3
Breeny View, ,Kealkil,Cork Co,504232,556010,2, ,2
Sli Na Scoile,School Road,Kealkil,Cork Co,504876,556090,13, ,7
Village , ,Kealkil,Cork Co,504823,556076,4, , 
Opposite School,Togher,Dunmanway,Cork Co,520103,557852,6,4,2
Ard Na Greine,Sheskin,Bantry,Cork Co,500153,547856,27,25,2
 Cul Na Greine,Newtown,Bantry,Cork Co,500603,549366,70,30, 
Altan,Church Hill,Drimoleague,Cork Co,512729,546481,28,1, 
 Ard Carraig,Church Hill,Drimoleague,Cork Co,512690,546264,8,7,1
Adrigole, ,Adrigole,Cork Co,481191,550590,3, ,3
Tir Na Greine, ,Enniskeane ,Cork Co,535632,554430,6,5,1
Mill Hill, ,Timoleague,Cork Co,546964,543608,2, ,2
Glenduff, ,Kilbrittain,Cork Co,552076,546924,20, , 
THE MANOR,LAKE VIEW,MIDLETON,Cork Co,588690,572509,429,0,0
BE BONNOG,OATEN CAKE,MIDLETON,Cork Co,587399,573248,75,0,75
BALLYVOLOON,BALLYVOLOON,COBH,Cork Co,579117,567313,216,15,13
DROMADDA BEG,LADYSBRIDGE,LADYSBRIDGE,Cork Co,596923,571824,3,0,0
RIVER ST,CLOYNE,CLOYNE,Cork Co,591658,568051,17,6,11
THE HAVEN,CLOYNE,CLOYNE,Cork Co,591610,567815,3,1,2
ASHDALE,SPITAL,CLOYNE,Cork Co,591172,567614,9,2,1
TIR CLUAIN,KNOCKGRIFFEN,MIDLETON,Cork Co,587081,575359,227,97,66
LAKE VIEW,ROSTELLAN,MIDLETON,Cork Co,587220,565770,10,7,0
COIS MAIGH,MOGEELY,MOGEELY,Cork Co,596187,575205,133,9,5
IVY COURT,UPPER AGHADA,AGHADA,Cork Co,585578,564951,11,2,0
GLEBE MANOR,ARDNABOURKEY,WHITEGATE,Cork Co,584020,563357,97,42,0
BARRACK COURT,BARRACK ST,WHITEGATE,Cork Co,584049,563773,4,3,1
COIS NA FARRAIGE,WHITEGATE,WHITEGATE,Cork Co,584567,563899,52,41,3
COIS ABHAINN,CORK RD,KILLEAGH,Cork Co,600291,576720,19,4,2
KILLEAGH GARDENS,KILLEAGH,KILLEAGH,Cork Co,600109,576606,187,58,40
THE ESTURY,MAGNERS HILL,YOUGHAL,Cork Co,609884,578049,40,20,6
ALLINS QUAY,YOUGHAL,YOUGHAL,Cork Co,610502,578175,84,11,61
CAREYS WHARF,GREEN QUAY,YOUGHAL,Cork Co,610501,578116,11,0,11
GLEANN TUARIGH,CHICKLEY RD,YOUGHAL,Cork Co,608850,578034,74,64,10
NA PRAPOGA,CHICKLEY RD,YOUGHAL,Cork Co,608660,578086,106,26,4
 ARDAN NA MARA,SEAFIELD,YOUGHAL,Cork Co,609413,576937,95,73,6
RADHARC NA MARA ,BALLYVERGAN EAST,YOUGHAL,Cork Co,608981,576495,34,23,0
TUAIRINN ALAINN,CASTLEMARTYR,CASTLEMARTYR,Cork Co,596671,573360,16,0,16
DANESWOOD,MONTPELLIER RD,DOUGLAS,Cork Co,569800,568243,19,14,3
BRAMBLE HILL,CASTLETREASURE,DOUGLAS,Cork Co,569483,567742,28,10,2
CLARENDON BROOK,CARRS HILL ,DOUGLAS,Cork Co,570066,568564,33,0,9
THE BOROUGH,MONEYGOURNEY,DOUGLAS,Cork Co,571852,567826,98,24,21
ELDEN,MARYBOROUGH HILL,DOUGLAS,Cork Co,571104,568975,74,48,26
UPPER BELMONT,DOUGLAS,DOUGLAS,Cork Co,572744,568681,88,8,9
ASHLEY,PASSAGE WEST RD,ROCHESTOWN ,Cork Co,571555,569284,6,0,0
TEMPLE GROVE,CASTLETREASURE,CASTLETREASURE,Cork Co,570270,568307,76,20,21
AN TRA GEAL,GARRYVOE,GARRYVOE,Cork Co,599975,567747,48,18,13
SRUTHAN SUAN,GARRYVOE,GARRYVOE,Cork Co,599606,567745,11,5,6
OLD GARDENS,SHANAGARRY,SHANAGARRY,Cork Co,597925,566765,12,5,7
BLUEPORT,BALLYCOTTON,BALLYCOTTON,Cork Co,599862,563861,5,1,4
SHANAGARRY,SHANAGARRY,SHANAGARRY,Cork Co,597427,566637,11,0,9
ROOSKAGH VALLEY,SHANAGARRY,SHANAGARRY,Cork Co,597935,567041,56,24,32
CLARKESWOOD,MOUNT OVAL VILLAGE,ROCHESTOWN,Cork Co,572202,568832,112,87,4
CASCADE,CARRIGTWOHILL,CARRIGTWOHILL,Cork Co,581515,573462,95,0,0
MAPLEWOODS,BALLINACURRA,MIDLETON,Cork Co,588258,571360,234,51,52
CAMDEN RD,CROSSHAVEN,CROSSHAVEN,Cork Co,579973,561151,24,12,12
DOGGATES WOOD,FOTA ISLAND,COBH,Cork Co,580409,572094,80,47,33
FUSCIA WOODS,FOTA ISLAND,COBH,Cork Co,579691,572135,10,0,1
RIVERSIDE WALK,CURRA,RIVERSTICK,Cork Co,565777,557963,10,2,8
CNOIC ARD,RIVERSTICK,RIVERSTICK,Cork Co,565659,558038,55,20,10
COIS ABHANN,RIVERSTICK,RIVERSTICK,Cork Co,565729,558080,18,6,12
WHITE OAKS,FERNEY RD,CARRIGALINE,Cork Co,572952,561772,49,34,7
THE ORCHARDS,BALLINACUBBY,KINSALE,Cork Co,563401,550122,99,89,3
CASTLE HEIGHTS,KILMONEY RD,CARRIGALINE,Cork Co,572213,561226,310,185,29
BALLYMACODA VILLAGE,BALLYMACODA,BALLYMACODA,Cork Co,604431,570972,6,0,0
CASTLEVIEW,BALLYMACODA,BALLYMACODA,Cork Co,604367,571049,25,3,9
GLEANN BUI,BALLYMACODA,BALLYMACODA,Cork Co,604066,571253,28,11,11
GLEAN FIA,TOWER,BLARNEY,Cork Co,558860,574671,163,8,4
SHANOWEN,CASTLELYONS RD,RATHCORMAC,Cork Co,581006,591904,199,146,14
CRANN ARD,PIKE RD,FERMOY,Cork Co,581161,599939,132,75,5
ARD NA GREINE,CLOONLOUGH,MITCHELSTOWN,Cork Co,580773,611937,45,12,29
GLEANN ULL,BALLYHOOLY,BALLYHOOLY,Cork Co,572689,599476,43,12,9
LIOS ARD,BALLYHOOLY,BALLYHOOLY,Cork Co,572854,599489,128,37,1
MULLA VALE,CASTLETOWNROCHE,CASTLETOWNROCHE,Cork Co,567999,602142,83,5,12
TEMPLEROE,SHANBALLYMORE,MALLOW,Cork Co,567495,607673,16,12,4
HILLCREST,KILDORRERY,KILDORRERY,Cork Co,570610,610452,37,16,0
GLEN CORRIN,TINAGERAGH,WATERGRASSHILL,Cork Co,576625,584941,61,22,0
AN CULAN,RATHCORMAC,RATHCORMAC,Cork Co,580774,591844,7,1,6
COIS CILLE ,CONNA,CONNA,Cork Co,592488,593216,21,11,3
CASTLE RIVERS,CONNA,FERMOY,Cork Co,593111,593496,59,4,1
ARD NA RI,CASTLELYONS ,CASTLELYONS,Cork Co,583690,592938,70,3,14
BERRYHILL,CASTLELYONS,CASTLELYONS,Cork Co,583712,593599,70,33,5
BARLEYFIELD,WHITECHURCH,WHITECHURCH,Cork Co,564156,581267,6,1,5
LAVALLIN,WHITECHURCH,WHITECHURCH,Cork Co,564573,581166,131,30,8
CRAWFORD WOODS,GLANMIRE,GLANMIRE,Cork Co,572102,574333,110,77,3
CASTLE COURT,OLD POST OFFICE RD,WHITECHURCH,Cork Co,564762,581290,88,11,0
CASTLELAKE,CARRIGTWOHILL,CARRIGTWOHILL,Cork Co,581149,573269,222,211,0
COLLEGE MANOR,CARRIGNAFOY,COBH,Cork Co,579846,567300,103,12,31
INIS ALAIN,CARRIGNAFOY,COBH,Cork Co,580596,567438,213,16,44
GLEBE LANE,GLANWORTH,GLANWORTH,Cork Co,575642,603597,4,1,1
THE GRANARY,GLANWORTH,GLANWORTH,Cork Co,575585,603578,14,10,4
UNKNOWN,GLANWORTH,GLANWORTH,Cork Co,575573,604113,7,4,3
PAIRC NA GCAPALL PH 2,KILWORTH,KILWORTH,Cork Co,583539,602597,67,56,11
NA BANTA,LADYSBRIDGE,LADYSBRIDGE,Cork Co,597136,571963,74,59,15
BRIDGE TOWN COURT,CASTLEMARTYR,CASTLEMARTYR,Cork Co,596418,572983,165,129,33
CASTLEJANE WOODS,GLANMIRE,GLANMIRE,Cork Co,572513,574745,4,1,3
CASTLEJANE WOODS,GLANMIRE,GLANMIRE,Cork Co,572424,574748,60,43,15
UNKNOWN,CARRIGNAVAR,CARRIGNAVAR,Cork Co,566827,581860,10,0,0
UNKNOWN,GLENVILLE,GLENVILLE,Cork Co,571170,588962,2,0,0
LINN CORR,CASTLEMARTYR,CASTLEMARTYR,Cork Co,596294,573047,10,1,9
QUADRANTS ,BALLINCOLLIG,BALLINCOLLIG,Cork Co,559534,570914,188,26,120
CRESCENT,BALLINCOLLIG,BALLINCOLLIG,Cork Co,559534,570914,90,66,24
WOODFIELD HOUSE,BLARNEY,BLARNEY,Cork Co,561343,576713,12,0,12
An Faithin,Terelton ,Macroom,Cork Co,531851,565488,16,10,6
Gort Mhiclil,Coolea,Macroom,Cork Co,516120,575851,11,0,0
Bunglaise,Ballyvouorney,Macroom,Cork Co,521074,576810,14,7,7
Cluain Reidh,Ballyvourney,Macroom,Cork Co,520716,577117,46,6,4
Curra Glen,Clondrohid,Macroom,Cork Co,529631,575626,17,14,3
Ard Na Glaise,Tullig,Millstreet,Cork Co,528121,590089,55,0,0
Altamont,Millstreet,Millstreet,Cork Co,527967,590226,29,24,1
Fairfield Riae,Minior Row,Millstreet,Cork Co,527522,590280,26,23,3
Ard Na Si,Kanturk Road,Banteer,Cork Co,538542,598020,38,9,6
Park View,off Coomlogane Street,Millstreet,Cork Co,526871,590352,9,8,1
7 Serviced Sites,Bluepool Upper,Kanturk,Cork Co,537950,602839,7,0,0
"Riverfront Dev, 12 apartments",Adjacent to Town Library,Kanturk,Cork Co,538079,603223,12,0,0
2 Hses accessed via lane,Percival Street,Kanturk,Cork Co,537882,603205,2,0,2
Pairc an Tobar&Scarb Leathan,Greenane,Kanturk,Cork Co,538654,603601,77,54,23
Curragh Grove,Off Newmarket Street,Kanturk,Cork Co,537642,604633,7,0,1
Pairc Cois Scoile,Rylane,Rylane,Cork Co,542456,581317,11,0,0
Radharc an Chnoic,Rylane,Rylane,Cork Co,542749,581245,41,0,0
Carrig Rua ,Ballinagree,Macroom,Cork Co,536499,580953,22,4,6
Pairc na Deireachta,Mountmassey,Macroom ,Cork Co,533762,573623,14,8,6
The Granary ,Sleaveen Road,Macroom,Cork Co,533876,572876,28,0,0
The Beeches,Laharan East,Boherbue,Cork Co,527522,601501,64,21,19
Garran na Dara,Kilbrin,Kilbrin,Cork Co,543214,607099,41,30,4
Dun an Oir,Newmarket Road,Kanturk,Cork Co,537819,603788,147,95,52
Lios na Greine,Lismire,Newmarket,Cork Co,535599,608931,45,4,4
Cillard,Scarteen Street,Newmarket,Cork Co,531566,607669,12,11,1
Kilmore (An Choil Mhor),Newtownshandrum,Newtownshandrum,Cork Co,547830,622013,15,6,1
The Gables,Dromina,Dromina,Cork Co,545187,618468,5,4,1
Fern Way,Classis,Ballincollig,Cork Co,556410,570477,103,64, 
the Abbey Apts,Classis,Ballincollig,Cork Co,556783,570136,36,28,8
Local Authority Site, ,Ballincollig,Cork Co,557905,569980,64,58,6
The Old Quarter,Main St.,Ballincollig,Cork Co,558948,571201,471,304,23
Kilbrogan St.,Kilbrogan,Bandon,Cork Co,548780,555583,3, ,3
