Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,x,y,TOTAL,Complete & occupied,Complete & vacant
Abbeylands / Barnhill, ,Castledermot,Kildare,677967,684550,124,121,3
Beech Court,"The Presbytery, Main Street",Clane,Kildare,687666,727593,27,6,0
Alexander Manor,Abbeylands,Clane,Kildare,687916,727266,23,17,6
Alexander Walk,Abbeylands,Clane,Kildare,688242,727426,131,125,6
Brooklands,Capdoo,Clane,Kildare,688088,728052,133,114,13
Newbury Park,"Ballyshannon, Carbury",Derrinturn,Kildare,671016,732679,67,60,4
Ballyshannon Manor,Dreenan,Derrinturn,Kildare,670699,732384,26,23,3
Cluain Dara, ,Derrinturn,Kildare,669987,732921,77,11,2
The Paddocks, ,Kildangan,Kildare,666118,706691,31,18,13
Kilkee Golf Lodges,Kilkea Demesne,Kilkea,Kildare,675044,688692,33,0,10
Allen Court,Pluckerstown,Kilmeague,Kildare,676273,721642,8,3,0
Ballintine Park,Allen,Kilmeague,Kildare,676383,721830,36,12,2
Cluain Dara,Easton Road,Leixlip,Kildare,699089,735883,61,46,15
Unknown Site – High Degree Construction, ,Maynooth,Kildare,693854,737058,57,2,0
Oldgrange Wood,Oldgrange,Monasterevin,Kildare,663288,711494,257,51,2
Old Millrace,Rathangan Road,Monasterevin,Kildare,663174,710881,69,59,4
Mountrice Hill,Mountrice,Monasterevin,Kildare,664703,713469,5,4,1
Moore’s Wood,Mountrice,Monasterevin,Kildare,665013,713875,6,0,3
The Glebe,Togher Road,Monasterevin,Kildare,662804,710577,30,20,10
Alder Grove,"Oldtown Demesne, Sallins Road",Naas,Kildare,689247,721202,58,28,26
Capella Court,Langton Cross,Newbridge,Kildare,679598,714199,66,44,22
Brookfield,Sweep Lane,Nurney,Kildare,670844,705381,18,7,0
The Harbour,"Canalside, Nelson Street",Athy,Kildare,667728,693937,52,34,18
 ,Nelson Street,Athy,Kildare,667779,693923,4,1,0
Moyvalley Estate Apartments,Moyvalley,Enfield,Kildare,671526,741526,191,0,32
Kilbelin Abbey,West of the Athgarvan Rd & North of Walshestown,Newbridge,Kildare,680893,713558,149,65,5
SALLINS TOWN CENTRE,MAIN STREET,SALLINS,Kildare,689050,723216,16,13,3
Knockanally Golf Village, ,Donadea,Kildare,680642,737931,20,15,5
The Coach House Yard, ,Johnstown,Kildare,691962,721636,23,18,5
,Grove Lane,Robertstown,Kildare,678872,725075,7,1,3
 ,Roberstown East,Robertstown,Kildare,678990,725015,5,0,0
 ,Courtown Road,Kilcock,Kildare,688029,739336,2,0,0
CRADDOCKSTOWN CT,CRADDOCKSTOWN,NAAS,Kildare,689585,718277,73,32,1
PIERCE  LODGE,Piercetown-STATION ROAD,NEWBRIDGE,Kildare,679364,715723,216,4,0
THE HAWTHORN,MILLFIELD,NEWBRIDGE,Kildare,680018,713923,229,207,0
SADDLERS  HALL,KILL VILLAGE,KILL ,Kildare,693645,722615,16,7,0
Woodlands Park,,Allenwood,Kildare,676082,726760,111,72,2
Whitethorn Park,,Allenwood,Kildare,675875,726657,26,11,
Corbans Mill,Millbank,Naas,Kildare,689553,719274,9, ,
Shanrath Road,Castledermot Road,Athy,Kildare,669583,693958,83,13,1
Newtown Hall,Newtown,Maynooth,Kildare,692469,737250,241,115,36
Whitethorn,Athgarvan Road,Athgarvan,Kildare,681728,711931,67,3,7
Abbeyfield, ,Ballitore,Kildare,679244,696279,129,50,6
Old Chapel Grove,Main Street,Caragh,Kildare,684935,721414,15,3,0
Hemingway Park,Moat Commons,Clane,Kildare,687448,727111,43,10,0
Radharc Na hAiglise,Main Street,Derrinturn,Kildare,670413,732745,23,0,0
Oughterany Village,Branganstown,Kilcock,Kildare,688524,738702,166,51,2
The Ryebridge,Boycetown Commons,Kilcock,Kildare,688140,740468,416,209,11
Earl’s Court, ,Kill,Kildare,694526,722823,62,45,7
Moyglare Hall, ,Maynooth,Kildare,693506,738804,491,225,9
Griffen Rath Hall, ,Maynooth,Kildare,694422,736326,220,174,28
Fern's Bridge,Oldgrange,Monasterevin,Kildare,663016,711236,454,132,0
Moore Abbey Court,Gorteenoona,Monasterevin,Kildare,663492,710079,29,4,2
Brocan Wood,Cowpasture Lane,Monasterevin,Kildare,663471,710248,142,5,1
Primrose Gardens,"R447 South Ring, Jigginstown",Naas,Kildare,687902,718779,119,51,12
The Meadows,"Morristownbiller, Cornelscourt",Newbridge,Kildare,679094,715780,463,121,14
Barretstown Meadows,Roseberry,Newbridge,Kildare,680921,716953,67,16,18
Crotanstown Grange,"Green Road, Crotanstown",Newbridge,Kildare,679671,712995,53,23,4
The Willows, ,Allenwood,Kildare,675897,726767,29,0,0
Sycamore Avenue,Celbridge Road,Leixlip,Kildare,699623,735585,5,0,0
Forge hill,Cockhill Road,Stamullen,Meath,714491,766063,20,19,1
Delvin Court,Stadalt,Stamullen,Meath,714939,765881,10,9,1
Silverstream,Kilbreck,Stamullen,Meath,714211,765866,33,11,13
Glenview,Gormanstown Road,Stamullen,Meath,715342,766264,7,6,1
Grange Avenue,The Grange,Stamullen,Meath,715267,766392,5, ,4
Bath Abbey,Navan Road,Duleek,Meath,704038,768257,42,4,30
Castlemartyn,Eastham Road,Bettystown,Meath,715544,773693,78,67,11
Roseville,Eastham Road,Bettystown,Meath,715519,773375,20,12,6
Whitefield Manor,Donacarney Road,Bettystown,Meath,714150,773899,375,30,13
Park Vale,Colpe Cross,Drogheda,Meath,711660,774375,140,132,8
South Gate Shopping,Colpe Cross,Drogheda,Meath,711608,773793,67, ,67
Knightswood,Mathews Lane,Drogheda,Meath,707867,773452,201,10,16
Academy Square,Lime kiln Hill,Navan,Meath,687570,767151,132,127,5
Bru Na hAbhainn,Blackcastle Demense,Navan,Meath,687989,768467,107,80,27
Tubberclaire Meadows,"Old Road, Athlumney",Navan,Meath,688700,767868,76,29,8
Fitzherbert Woods,Blackcastle Demense,Navan,Meath,687729,768419,75,21,5
Slane Castle Demense,Slane,Slane,Meath,695599,774625,62,56,6
Butterstream Manor,Kildalkey Road,Trim,Meath,679580,757588,54,24,3
The Old Forge,Haggard Street,Trim,Meath,680247,757098,10,9,1
Hamilton Court,Hamilton Place,Trim,Meath,680825,757287,8,2,6
Hampton Rise,Mill Lane,Navan,Meath,687081,768132,37,7,30
Stonebridge,Athlumney,Navan,Meath,687822,767758,6,1,5
Sommerville Glebe,Duleek Road,Kentstown,Meath,697142,765547,37,33,4
Bective Lodge,Trim Road,Kilmessan,Meath,688593,757769,121,118,3
Ledgewidge Hall, Drogheda Road,Slane,Meath,696498,774426,106, ,7
Rochford Manor,Efferknock,Trim,Meath,681921,756589,116,108,7
Teaguestown Wood,Efferknock,Trim,Meath,681614,756286,63,59,4
The Steeple Buildings,Old Athboy Road,Trim,Meath,679946,757501,6,,6
The Gallops,Kinnegad Road,Trim,Meath,679513,756460,8,1,1
The Gallops,Kinnegad Road,Trim,Meath,679447,756459,34,14,
Maudlin Vale,Trim Ring Road,Trim,Meath,680651,756025,102,41,3
Norbury Hall,Castle Street,Trim,Meath,680315,756533,20,19,1
An Glebe,The Glebe,Ballivor,Meath,669166,754143,30,27,3
Cherry Valley,Main Street,Rathmoylan,Meath,678942,749236,76,63,11
Brackinrainey Wood,Main Street,Longwood,Meath,671211,745178,80,16,3
DeVerdon Place,Balbdadagh,Robinstown,Meath,684365,761358,28,25,2
The Haggard,Haggard Street,Trim,Meath,680272,757170,20,7,13
Loughmore Square,Killeen Castle,Dunsany,Meath,693204,754857,159,1,8
Loughcrew Hills,Mount Nugent Road,Oldcastle,Meath,654857,780246,46,15,2
The Maudlins,Main Street,Duleek,Meath,704746,768561,29, ,29
The Old Station House,Trim Road,Athboy,Meath,671850,764115,11,1,8
Ledgewidge Hall, Drogheda Road,Slane,Meath,696495,774468,33,2,5
Saint Mary's Terrace,Conex Constr,Dunboyne,Meath,701363,742306,14, ,14
Grange Hall, ,Dunshaughlin ,Meath,696614,752924,163,153, 
Steeplechase,McGarrill O'Reilly,Ratoath,Meath,701354,752219,161,127,34
Killegland,Naus,Ashbourne,Meath,706024,752554,31, ,31
Churchfields,Kealahill,Ashbourne,Meath,705719,751989,468,214, 
Ashewood,Logancourt,Ashbourne,Meath,706606,752773,143,127,4
Killbourne, ,Ashbourne,Meath,705256,752638,409,112,7
Regent's Hall, ,Ashbourne,Meath,705960,752848,65,17,30
Anna Ville, ,Clonard,Meath,665027,745270,96,2,5
The Old Forge,Grangais,Dunshaughlin ,Meath,696883,752759,76,12, 
No Name,Race Hill Road,Ashbourne,Meath,706058,753152,4, , 
Caislean Na Ri, ,Ashbourne,Meath,705659,752433,464, , 
Williamstown Stud, ,Clonee,Meath,703225,739553,99,,18
Crannog, ,Dunshaughlin ,Meath,697233,752427,57,44, 
Ard Cluain,Dunboyne Road,Clonee,Meath,703383,741323,76,61,15
Radharc Na hAbhainn,Blackcastle Avenue,Navan,Meath,687210,768055,11,,11
Price's building,Mill Lane,Navan,Meath,687113,768104,20,,20
Ardmore,Narrowways Road,Bettystown,Meath,714473,773331,138,69,11
Bettystown Town Centre,Bettystown,Bettystown,Meath,715565,773288,187,93,1
Seabury Lawns,Mornington,Mornington,Meath,715064,775274,77,38,3
"Park Ridge, Grange Rath",Colpe Cross,Drogheda,Meath,711524,774430,73,49,24
Deep Forde,Dublin Road,Drodheda,Meath,711249,773736,165,143,18
Avourwen,Platin / Duleek Road,Drogheda,Meath,708696,773925,623,63,22
Five Oaks,Dublin Road,Drogheda,Meath,710267,774000,66, , 
Ratholdren Court,Abbeylands,Navan,Meath,686536,768850,35,21,1
Beaufort Place,Abbeylands,Navan,Meath,687002,768414,105,45,5
Cedar Vale Phase 3,Athlumney,Navan,Meath,688417,767429,46, , 
Cedar Vale Phase 2,Athlumney,Navan,Meath,688428,767359,150,127, 
Slan Duff View,Navan Road,Kentstown,Meath,696621,765401,8, , 
Bell Hill View,The Green,Summerhill,Meath,684127,748559,5, , 
Knightsbrook,Efferknock,Trim,Meath,681504,756160,132,85,32
Wellington Hall,Efferknock,Trim,Meath,681643,756227,28, , 
Poynton Place,The Glebe,Ballivor,Meath,668978,754256,45,6,12
Clos Na Croise,Kilballivor,Ballivor,Meath,668531,754187,38,26, 
1 to 10 Emmet Street,Emmet Street,Trim,Meath,679947,756777,10,,2
Athlumney Wood,Johnstown,Navan,Meath,688474,767184,401,332,30
Cois Glaisheen,Johnstown,Navan,Meath,688884,765847,318,6,27
Parkstown View,Parkstown Estate,Ballivor,Meath,669282,754590,39, ,19
Summerseat,Lucan Road,Clonnee,Meath,703424,740839,377,116,17
Fairlands,Summerhill road ,Dunboyne,Meath,701198,742256,28, ,5
Archerstown,Maple Drive,Ashbourne,Meath,706863,752705,154,133,2
The Courthouse,Main Street,Summerhill ,Meath,684115,748633,2, ,2
No Name,Main Street,Summerhill ,Meath,684129,748558,5, , 
Dalriada, ,Ballycullen,SDCC,711557,725895,164,98,4
"The Mews, The Courtyard",College Drive,Terenure,SDCC,713142,729710,59,35,24
The Crescent,Fortfield Square,Terenure,SDCC,712094,729568,64,53,11
Aylmer Heath, ,Newcastle,SDCC,700401,728770,113,42,6
Abbey Close,Loreto Terrace,Rathfarnham,SDCC,714699,728456,4,4, 
Hawkridge,Celbridge Road,Lucan,SDCC,701532,734879,10, ,4
Ballymore Residential,College Square ,Wainsfort Manor Drive,SDCC,712731,729828,186,44,3
Castlegate,Adamstown,Lucan,SDCC,702699,733067,1808,904,108
The Paddocks,Adamstown,Lucan,SDCC,702578,734140,687,311,31
Coldcut Park,Coldcut Road / Cloverhill Road,Balleyfermot,SDCC,707559,734115,91,82,1
Browns Barn Wood, ,Kingswood,SDCC,705267,728798,43,40,2
Slade Castle,Slade Road / Boherboy Road,Saggart,SDCC,703659,726490,289,164,125
Bancroft Centre,Greenhills Road / Tallaght Bypass,Tallaght,SDCC,709483,727601,235,85,0
21 - 29 Tynan Hall Park, ,Kingswood,SDCC,708294,729621,5,3,2
Castlelyons,"Cornerpark, Main Street ",Newcastle,SDCC,700324,728822,64,60,4
N/A,Peamount Road,Newcastle,SDCC,699888,728872,4,2,2
Crough Reid,"Rear of Fortunestown Shopping Centre, with frontage onto the Cookstown Road ",Tallaght,SDCC,707340,727512,40,0,0
Millrace ,Mill Road,Saggart,SDCC,703368,726759,325,283,38
Cloragh Mills,Edmondstown Rd,"Rathfarnham, Dublin 14",SDCC,713536,726370,30,26,4
LIMEKILIN  FARM,ST.PETERS,GREENHILLS,SDCC,711321,729648,30,0,0
GREENHILLS  COURT,GREENHILLS  ROAD,TALLAGH,SDCC,709475,727753,21,13,8
STOCKING WOOD,STOCKING AVENUE,RATHFARNHAM,SDCC,712210,725937,793,199,66
CITY WEST PLAZA,CITY  WEST  DRIVE,CITY WEST,SDCC,705121,726965,57,49,8
TULLY  HALL, TULLY  HALL,LUCAN,SDCC,703738,732825,64,7,0
FFOSTERS  SQUARE, BALLYDAVID,LUCAN,SDCC,704715,734562,41,35,3
ASCAILL,PARC AN T-SIODA,KINGSWOOD,SDCC,705415,728643,147,64,4
SAINT  EDMUNDS,ST. LOMANS ROAD,PALMERSTOWN,SDCC,706000,755073,577,140,54
PARSONS  COURT,MAIN STREET,NEWCASTLE,SDCC,700412,728399,46,25,21
LARKFIELD SQUARE,BALLYOWEN  ROAD,LUCAN,SDCC,705360,734909,24,6,6
CEDER GROVE,FIRHOUSE ROAD,TALLAGHT,SDCC,711905,727815,18,0,18
BROADFIELD  MANOR,TOOTHILL,RATHCOOLE,SDCC,701068,726352,324,204,3
PEYTON,STONEY ROAD,RATHCOOLE,SDCC,702067,726393,168,54,4
AIR PARK,STOCKING  LANE,RATHFARNHAM,SDCC,713073,726296,102,89,13
CARRIG  COURT,FORTUNESTOWN LANE,CITY WEST,SDCC,704665,727160,152,143,9
CITY WEST SHOP VILLAGE,FORTUNESTOWN LANE,SAGGART,SDCC,704220,727160,75,2,73
EATON  WAY,MAIN  STREET,RATHCOOLE,SDCC,701968,726811,119,110,9
"Tallaght West, Tallaght Cross",Belgard Sq. West/Cookstown Way,Tallaght,SDCC,708251,727670,507,40,467
"Tallaght East, Tallaght Cross",Belgard Sq. West,Tallaght,SDCC,708379,727676,441,347,94
Arena Court,Whitestown Way,Tallaght,SDCC,708279,727140,230,219,11
Priors Gate,Tallaght By-Pass,Tallaght,SDCC,709575,727625,198,192,6
Station Grove,Station Road,Clondalkin,SDCC,706858,732350,8,0,6
N/A,Roselawn,Lucan,SDCC,704276,735266,6,0,0
Respond Housing Association,Cookstown Way,Tallaght,SDCC,708185,727526,154,0,0
N/A,Killnarden,Tallaght,SDCC,707749,725871,556,0,0
Fortunes Lawn/Walk,Fortunestown Lane,City West,SDCC,705056,727005,206,197,9
Blackthorn,Kilteel Road,Rathcoole,SDCC,701521,726357,2,1,1
SAGGART  COURT  LODGE,GARTERS LANE,SAGGART,SDCC,703985,726861,15,1,14
Abberley,High Street,Tallaght,SDCC,708919,727648,107,77,0
SAGGART  LAKES,MONEYATTA COMMONS,SAGGART,SDCC,704030,726261,16,6,10
Millmount Court, ,Tinahely,Wicklow,703533,673261,6,5,1
Brookfield,Coolattin Road,Carnew,Wicklow,701137,663734,22,19, 
Wyvern Square,Main Street,Bray,Wicklow,726434,718432,17,0,2
Bosun's Rest,Mount Carmel,Wicklow Town,Wicklow,731408,693322,21,8,4
Wilton Manor,Saunders Lane,Rathnew,Wicklow,729119,694650,65,18,10
Burkeen,Greenhills Road,Wicklow Town,Wicklow,729511,694621,110,99,6
Blackthorn Bay,Greenhills Road,Wicklow Town,Wicklow,732098,692905,4, ,2
Riversdale ,Dargle Road,Bray,Wicklow,724738,717678,124,121,3
Highfield Court,Bollarney,Wicklow Town,Wicklow,730207,694710,62,60,2
Dunne - Whittle,Broomhall,Ballynerrin,Wicklow,728757,694524,139, , 
Emyvale,Ballyrane Upper,Arklow,Wicklow,722642,673331,79,31, 
Bramble Hill,Lugduff,Tinahely,Wicklow,704496,672768,19,3,1
Main Street, ,Avoca,Wicklow,720332,680078,4, ,4
Millmount Meadows, ,Avoca,Wicklow,720359,680287,28,4, 
Belard, ,Glenealy,Wicklow,724685,692085,37,34,2
The Woods   ,Laragh Road,Rathdrum,Wicklow,718599,688682,64,60,4
Viewmount ,Knockadosan,Rathdrum,Wicklow,717649,688330,101,14,6
The Field,Ballyhara,Barndarrig,Wicklow,726862,686102,9,6,3
Waltrim Grove,Killarney Road,Bray,Wicklow,725026,716364,72,47,25
Richmond Way,Killarney Road,Bray,Wicklow,725273,717183,10,7,3
Humewood Oaks,,Kiltegan,Wicklow,693680,684823,10,0,2
Douglas court , ,Kiltegan,Wicklow,693958,684498,4,2,2
Main Street,Main Street,Baltinglass,Wicklow,686922,688548,2, , 
Slaney court,Edward Street,Baltinglass,Wicklow,686701,688512,15, , 
Hollywood Upper ?,Hollywood Upper,Hollywood,Wicklow,693960,705699,4,1, 
Shillelagh Manor,Ballard,Shillelagh,Wicklow,698154,667284,8,6,2
John Kelly,Edward Street,Baltinglass,Wicklow,686742,688448,8,,8
Cloneen Estate,Ballard,Ballinaclash,Wicklow,716645,685739,10,8,2
Derrybawn,Aughrim Lower,Aughrim,Wicklow,711945,679423,41,39,2
Aughrim Hall ,Aughrim Lower,Aughrim,Wicklow,711836,677318,54,48,6
Market Square,Main Street,Rathdrum,Wicklow,718767,688202,50, , 
Priory Court,Wentworth Place,Wicklow Town,Wicklow,731269,694153,4, , 
Site,Oghill Lower,Redcross,Wicklow,724882,683504,6, , 
2 houses,Coolgreany Road,Arklow,Wicklow,723020,673022,2, ,2
Macreddin Golf Village,Macreddin,Aughrim,Wicklow,712035,682757,19,1,3
CARRIG VIEW,GREENHILLS ROAD,WICKLOW,Wicklow,732009,692847,16,0,4
THE NURSERIES,CHERRY  LANE,DELGANY,Wicklow,728374,711146,14,12,0
GLENAIR MANOR,PRIORY  ROAD,DELGANY,Wicklow,728098,710569,9,7,0
CONVENT PLACE,CONVENT ROAD,DELGANY,Wicklow,727853,711312,9,0,0
BLACKCHAPEL MEWS,LOTT  LANE,KILCOOLE,Wicklow,729866,708486,2,0,2
HOLYWELL ,SEA ROAD,KILCOOLE,Wicklow,730195,707851,186,116,15
 WOODSTOCK DEMESNE, DRUIDS GLEN  ESTATE,KILCOOLE,Wicklow,729065,706274,40,6,16
LE TOUCH  PLACE,OFF CHURCH ROAD,GREYSTONES,Wicklow,729480,712359,3,0,0
MARINERS VIEW,KIMBERLEY  ROAD,GREYSTONES,Wicklow,729696,712371,9,6,1
AUBERY  COURT,PARNELL  ROAD,BRAY,Wicklow,726140,718430,34,30,4
CARRIGMORE EXTENSION,LOTT  LANE,KILCOOLE,Wicklow,729700,708236,10,8,0
BLACKCHAPEL MEWS,LOTT  LANE,KILCOOLE,Wicklow,729873,708547,2,1,1
WILLBROOK,MAIN STREET,KILCOOLE,Wicklow,729627,707796,12,10,2
INNISHKEEN,LOTT  LANE,KILCOOLE,Wicklow,729803,708687,4,0,0
Ardglass,Baltinglass East / Lathaleere,Baltinglass,Wicklow,687604,688235,134,102,11
Ivy Leaf Development, ,Rathdrum,Wicklow,719091,688814,26,0,26
N/A,Sparrow Road,Dunlavin,Wicklow,687777,701484,6,4,0
Bridgewater Quay,,Arklow,Wicklow,724816,673547,23,17,6
Riverside,Main Street,Arklow,Wicklow,724242,673537,27,22,5
Millbrook Court,,Redcross,Wicklow,725009,683889,21,18,2
Wentworth Place, ,Wicklow,Wicklow,731267,694155,4,0,0
Avenue Apartments,Blessington Town Centre,Blessington,Wicklow,698044,714527,20,0,0
Riverside,Ballinaclash,Ballinaclash,Wicklow,716924,685265,7,4,0
PINEWOOD & ASHWOOD,CHURCH  LANE,GREYSTONES,Wicklow,728762,712471,3,2,1
THE POPLARS,TOGHERMORE,ROUNDWOOD,Wicklow,718695,702575,10,0,0
Avondale,Ballynerrin Upper,Wicklow,Wicklow,730386,692039,19,18, 
Neighbourhood Centre,Merrymeeting Road,Rathnew,Wicklow,729119,694650,8,0,0
Mariners Point,Greenhills Road,Wicklow Town,Wicklow,731888,692830,46,1,4
Meadowvale ,Wexford Road,Arklow,Wicklow,723292,672241,331,246,20
Ballanagh Crescent, ,Avoca,Wicklow,720882,679226,8, , 
Hargrove,Ballymoat,Glenealy,Wicklow,724817,692523,8,5, 
Chapel Lane Heights, ,Aughrim,Wicklow,712895,679897,11,6,2
M & S Ryan Plant,Ballinaclash Village,Ballinaclash,Wicklow,716475,685619,11,4,1
Malton Court,Coolattin Road,Carnew,Wicklow,701218,663774,47,22,6
Glenview, ,Blessington,Wicklow,697821,714544,156,146,10
"1A,1B",Convent Road,Wicklow,Wicklow,731591,693566,2,1,1
ABBEY HILL-THE FRIARY,KEATINGSTOWN ROAD,WICKLOW,Wicklow,729695,694364,38,11,3
GRAHAMS  COURT,MARLTON  ROAD,WICKLOW,Wicklow,730264,692753,99,59,7
DJOUCE MEADOWS,ASHTOWN,ROUNDWOOD,Wicklow,718839,703288,36,21,0
BELLVUE,KILLINCARRIG,GREYSTONES,Wicklow,728483,711679,2,0,1
 DELGANY HILLS,KILLINCARRIG,DELGANY,Wicklow,728415,710972,94,14,2
CHERRY  GLADE, DELGANY WOODS,DELGANY,Wicklow,728278,711493,12,7,0
STRUAN  HILL,PRIORY  ROAD,DELGANY,Wicklow,727905,710511,7,0,0
CHURCHFIELDS,DELGANY WOODS,DELGANY,Wicklow,728194,711097,48,38,0
GLENBROOK HALL,MAIN STREET,Newtownmountkennedy,Wicklow,726314,706199,87,3,18
BALLYCRONE MANOR,BALLYCRONE ,KILCOOLE,Wicklow,729954,707427,32,10,5
BURNABY  VIEW,HILLSIDE ROAD,GREYSTONES,Wicklow,729471,712180,10,7,2
Milltown Gate,Burgage Mor,Blessington,Wicklow,697473,713441,54,0,4
Rossmore,Moneycarroll,Newtownmountkennedy,Wicklow,726394,705508,117,95,4
Winetavern, ,Stratford on Slaney,Wicklow,689155,694098,14,6,2
CHARVEY  COURT,OFF TIGHE  AVENUE,RATHNEW,Wicklow,728672,695606,4,2,1
