date,Dún Laoghaire-Rathdown,Fingal,Kildare,Meath,South Dublin,Wicklow,Dublin City,state
2002,15,35,50,1,31,29,62,939
2003,10,15,16,4,29,32,71,788
2004,11,7,28,4,4,23,41,601
2005,12,43,20,0,15,35,72,589
2006,5,66,10,6,19,27,70,629
2007,3,74,16,6,7,26,46,594
2008,0,42,17,12,10,16,64,524
2009,2,43,22,2,0,8,55,422
2010,2,45,8,10,0,4,73,444
2011,3,33,7,9,0,4,48,327
2012,3,28,9,10,0,2,25,330
2013,2,25,20,10,0,2,44,361
