quarter,region,Persons aged 15 years and over in Employment (Thousand),Unemployed Persons aged 15 years and over (Thousand),Persons aged 15 years and over in Labour Force (Thousand),ILO Unemployment Rate (15 - 74 years) (%),ILO Participation Rate (15 years and over) (%)
01/04/1998,South-West,218.9,18.7,237.6,7.9,55.1
01/07/1998,South-West,227.4,17.5,244.9,7.2,56.4
01/10/1998,South-West,224.2,14.6,238.8,6.1,54.8
01/01/1999,South-West,227.2,13.5,240.6,5.6,55.1
01/04/1999,South-West,231.2,14.7,245.8,6,56.1
01/07/1999,South-West,240.1,13.3,253.4,5.3,57.6
01/10/1999,South-West,237.3,11,248.3,4.4,56.2
01/01/2000,South-West,237.3,10.8,248.1,4.4,56
01/04/2000,South-West,245.3,10.5,255.9,4.1,57.6
01/07/2000,South-West,251.5,10,261.6,3.9,58.6
01/10/2000,South-West,245,9.5,254.6,3.8,56.7
01/01/2001,South-West,241.3,10.1,251.3,4,55.8
01/04/2001,South-West,250.6,9.5,260.1,3.7,57.6
01/07/2001,South-West,257.4,10.7,268.1,4,59
01/10/2001,South-West,249.7,11.1,260.8,4.3,57.1
01/01/2002,South-West,249.8,11.5,261.2,4.4,57
01/04/2002,South-West,252.2,11.8,263.9,4.5,57.3
01/07/2002,South-West,259.4,11.5,270.8,4.3,58.6
01/10/2002,South-West,251.3,12.5,263.8,4.7,56.8
01/01/2003,South-West,252.2,11.5,263.7,4.4,56.6
01/04/2003,South-West,253.3,12.4,265.7,4.7,56.9
01/07/2003,South-West,264.6,12.4,276.9,4.5,59
01/10/2003,South-West,259.9,10.8,270.7,4,57.3
01/01/2004,South-West,262.1,12.9,275,4.7,58.1
01/04/2004,South-West,266,12.8,278.8,4.6,58.7
01/07/2004,South-West,279.3,11.4,290.7,3.9,60.8
01/10/2004,South-West,274.3,11.2,285.5,3.9,59.2
01/01/2005,South-West,277,11,288,3.8,59.4
01/04/2005,South-West,281.7,13,294.7,4.4,60.5
01/07/2005,South-West,293.5,11.6,305.1,3.8,62.3
01/10/2005,South-West,289.6,10.1,299.7,3.4,60.8
01/01/2006,South-West,288.5,10.9,299.4,3.7,60.4
01/04/2006,South-West,293.8,13.1,307,4.3,62
01/07/2006,South-West,303.2,12.6,315.9,4,63.1
01/10/2006,South-West,302.6,12.1,314.7,3.8,62.3
01/01/2007,South-West,304.2,12.2,316.4,3.9,62.3
01/04/2007,South-West,308.5,12.4,320.8,3.9,62.7
01/07/2007,South-West,317.4,12.9,330.4,3.9,64.1
01/10/2007,South-West,310.6,14.4,325.1,4.5,62.6
01/01/2008,South-West,310.2,14.9,325.1,4.6,62.2
01/04/2008,South-West,309.1,17.9,327,5.5,62.3
01/07/2008,South-West,316.2,22.1,338.2,6.5,64.4
01/10/2008,South-West,300.3,20.7,320.9,6.5,61
01/01/2009,South-West,289,32.1,321.1,10,61
01/04/2009,South-West,289.7,36.9,326.6,11.3,61.9
01/07/2009,South-West,288.2,38.8,327,11.9,62.1
01/10/2009,South-West,278.7,36.8,315.5,11.7,59.9
01/01/2010,South-West,275,38.5,313.5,12.3,59.6
01/04/2010,South-West,281.6,41.3,323,12.8,61.5
01/07/2010,South-West,278.9,44,322.9,13.7,61.5
01/10/2010,South-West,269.3,40.2,309.5,13,59
01/01/2011,South-West,264.6,42.6,307.2,13.9,58.6
01/04/2011,South-West,266.6,42.5,309.1,13.8,59
01/07/2011,South-West,270.1,44.2,314.3,14.1,59.9
01/10/2011,South-West,269.1,41.8,310.9,13.5,59.2
01/01/2012,South-West,266.6,41.8,308.5,13.6,58.7
01/04/2012,South-West,270.7,44.8,315.6,14.3,60
01/07/2012,South-West,274.9,40.8,315.7,13,59.8
01/10/2012,South-West,277,37.6,314.6,12,59.5
01/01/2013,South-West,277.1,34.7,311.8,11.2,59
01/04/2013,South-West,280.7,38,318.7,12,60.3
01/07/2013,South-West,287.1,36.7,323.8,11.4,61.1
01/10/2013,South-West,280.6,31.8,312.4,10.2,58.7
01/01/2014,South-West,273.5,35.2,308.7,11.4,58.1
01/04/2014,South-West,273.3,34.2,307.5,11.1,58
01/07/2014,South-West,277.2,32.6,309.8,10.6,58.4
01/10/2014,South-West,275.6,32.7,308.3,10.6,58.2
01/01/2015,South-West,277.8,29.7,307.5,9.7,58.2
01/04/2015,South-West,283,30.9,313.9,9.9,59.5
01/07/2015,South-West,286.5,26.1,312.7,8.4,59.3
01/10/2015,South-West,283.9,22.4,306.3,7.4,58.1
01/01/2016,South-West,285.4,23.7,309.1,7.7,58.4
01/04/2016,South-West,285.4,22.7,308,7.4,58.3
01/07/2016,South-West,299.1,20.3,319.4,6.4,60.3
01/10/2016,South-West,290,17.5,307.5,5.7,57.9
01/01/2017,South-West,290.5,18.3,308.8,5.9,58.2
01/04/2017,South-West,304.7,15.3,320,4.8,59.8
01/01/1998,Ireland,1485.9,137.2,1623.1,8.5,56.8
01/04/1998,Ireland,1506.5,127.9,1634.4,7.9,56.9
01/07/1998,Ireland,1561.5,120.7,1682.2,7.2,58.2
01/10/1998,Ireland,1548.8,100.7,1649.5,6.1,56.9
01/01/1999,Ireland,1576.2,101.2,1677.4,6.1,57.7
01/04/1999,Ireland,1607.2,102.3,1709.5,6,58.6
01/07/1999,Ireland,1665.6,94.7,1760.3,5.4,60.1
01/10/1999,Ireland,1650.8,84.2,1735,4.9,58.9
01/01/2000,Ireland,1655.6,80.2,1735.8,4.6,58.8
01/04/2000,Ireland,1684.8,81.3,1766.2,4.6,59.6
01/07/2000,Ireland,1735.4,76.4,1811.8,4.2,60.8
01/10/2000,Ireland,1714.8,63.7,1778.6,3.6,59.2
01/01/2001,Ireland,1710.4,66,1776.4,3.7,59
01/04/2001,Ireland,1738.4,69.7,1808,3.9,59.8
01/07/2001,Ireland,1786.9,78.4,1865.3,4.2,61.3
01/10/2001,Ireland,1762.8,72.2,1834.9,3.9,59.9
01/01/2002,Ireland,1757.2,77.7,1834.9,4.3,59.6
01/04/2002,Ireland,1768.8,82.5,1851.3,4.5,59.8
01/07/2002,Ireland,1802.7,82.3,1885,4.4,60.6
01/10/2002,Ireland,1777.4,88.3,1865.7,4.7,59.7
01/01/2003,Ireland,1783.1,85,1868.1,4.6,59.5
01/04/2003,Ireland,1800.1,87.5,1887.5,4.6,59.9
01/07/2003,Ireland,1831,93.7,1924.7,4.9,60.8
01/10/2003,Ireland,1826.1,81.3,1907.3,4.3,59.9
01/01/2004,Ireland,1829.7,93,1922.7,4.9,60.2
01/04/2004,Ireland,1852.4,88.5,1941,4.6,60.5
01/07/2004,Ireland,1902.5,87.4,1989.8,4.4,61.6
01/10/2004,Ireland,1899.8,82.9,1982.6,4.2,60.9
01/01/2005,Ireland,1917.2,83.4,2000.6,4.2,61.2
01/04/2005,Ireland,1944.6,96.9,2041.5,4.8,62.1
01/07/2005,Ireland,1994,95.9,2089.9,4.6,63.1
01/10/2005,Ireland,1995.3,84.2,2079.4,4.1,62.2
01/01/2006,Ireland,2009.5,93.3,2102.8,4.5,62.5
01/04/2006,Ireland,2035.1,99,2134.1,4.7,63.2
01/07/2006,Ireland,2078.4,105.1,2183.5,4.8,63.9
01/10/2006,Ireland,2091.2,89.6,2180.8,4.1,63.3
01/01/2007,Ireland,2110.6,100.7,2211.4,4.6,63.7
01/04/2007,Ireland,2136.1,107.5,2243.6,4.8,64.1
01/07/2007,Ireland,2169.6,107.5,2277.1,4.7,64.7
01/10/2007,Ireland,2156,104.6,2260.6,4.6,63.8
01/01/2008,Ireland,2146.4,113.6,2260,5,63.5
01/04/2008,Ireland,2147.3,131,2278.3,5.8,63.7
01/07/2008,Ireland,2136.4,163.7,2300.1,7.1,64.2
01/10/2008,Ireland,2083.5,173.8,2257.2,7.7,62.9
01/01/2009,Ireland,1996.4,229.5,2225.9,10.3,61.9
01/04/2009,Ireland,1974,275,2248.9,12.3,62.5
01/07/2009,Ireland,1953.6,288.9,2242.4,12.9,62.3
01/10/2009,Ireland,1921.4,277.3,2198.7,12.6,61.1
01/01/2010,Ireland,1891.9,284.1,2176,13.1,60.5
01/04/2010,Ireland,1893.6,305.1,2198.7,13.9,61.1
01/07/2010,Ireland,1886.1,310.6,2196.7,14.2,61
01/10/2010,Ireland,1857.3,310.9,2168.2,14.4,60.2
01/01/2011,Ireland,1841.8,307.6,2149.4,14.4,59.7
01/04/2011,Ireland,1861.3,317.4,2178.7,14.6,60.5
01/07/2011,Ireland,1845.6,328.1,2173.7,15.1,60.4
01/10/2011,Ireland,1847.7,313.9,2161.5,14.6,60.1
01/01/2012,Ireland,1825,321.9,2146.9,15,59.7
01/04/2012,Ireland,1836.2,323,2159.1,15,60.1
01/07/2012,Ireland,1841.3,324.5,2165.8,15,60.2
01/10/2012,Ireland,1848.9,294.6,2143.5,13.8,59.6
01/01/2013,Ireland,1845.6,292,2137.5,13.7,59.5
01/04/2013,Ireland,1869.9,300.7,2170.7,13.9,60.5
01/07/2013,Ireland,1899.3,282.9,2182.1,13,60.7
01/10/2013,Ireland,1909.8,253.2,2163.1,11.8,60.1
01/01/2014,Ireland,1888.2,258.1,2146.3,12.1,59.7
01/04/2014,Ireland,1901.6,254.5,2156.1,11.9,60
01/07/2014,Ireland,1926.9,245.5,2172.4,11.3,60.4
01/10/2014,Ireland,1938.9,213.6,2152.5,10,59.8
01/01/2015,Ireland,1929.5,212.8,2142.4,10,59.4
01/04/2015,Ireland,1958.7,211.2,2169.9,9.8,60.2
01/07/2015,Ireland,1983,203,2186,9.3,60.5
01/10/2015,Ireland,1983,187.5,2170.5,8.7,60
01/01/2016,Ireland,1976.5,179.5,2156,8.4,59.5
01/04/2016,Ireland,2014.9,187.8,2202.7,8.6,60.6
01/07/2016,Ireland,2040.5,177.7,2218.2,8,60.8
01/10/2016,Ireland,2048.1,147.4,2195.6,6.7,60.1
01/01/2017,Ireland,2045.1,146.2,2191.4,6.7,59.8
01/04/2017,Ireland,2063,141.5,2204.5,6.4,59.9
