quarter,region,Persons aged 15 years and over in Employment (Thousand),Unemployed Persons aged 15 years and over (Thousand),Persons aged 15 years and over in Labour Force (Thousand),ILO Unemployment Rate (15 - 74 years) (%),ILO Participation Rate (15 years and over) (%)
01/10/2011,Dublin,548.8,81.7,630.5,13,62.2
01/01/2012,Dublin,541.5,82.6,624.1,13.3,61.6
01/04/2012,Dublin,547.4,76.9,624.3,12.3,61.7
01/07/2012,Dublin,548.4,81.3,629.7,12.9,62.2
01/10/2012,Dublin,556.3,69.8,626,11.2,61.9
01/01/2013,Dublin,547.1,70,617,11.4,60.9
01/04/2013,Dublin,555.1,75.4,630.5,12,62.5
01/07/2013,Dublin,570.1,67.1,637.2,10.6,62.7
01/10/2013,Dublin,572.1,63.2,635.3,10,62.2
01/01/2014,Dublin,572.9,66.2,639.1,10.4,62.6
01/04/2014,Dublin,576.4,64.1,640.5,10,63
01/07/2014,Dublin,576.5,65.4,641.9,10.2,63
01/10/2014,Dublin,587.5,55.5,642.9,8.7,62.8
01/01/2015,Dublin,584.9,56.2,641.1,8.8,62.1
01/04/2015,Dublin,591.8,51.8,643.6,8.1,62.2
01/07/2015,Dublin,605.6,52.2,657.8,8,63.2
01/10/2015,Dublin,610.4,50,660.4,7.6,63.2
01/01/2016,Dublin,611.7,45.5,657.2,6.9,62.9
01/04/2016,Dublin,617.5,54.2,671.7,8.1,64
01/07/2016,Dublin,621.5,50.5,672,7.5,63.8
01/10/2016,Dublin,629.9,40.3,670.2,6,63.5
01/01/2017,Dublin,627.2,41.7,668.9,6.3,63.1
01/04/2017,Dublin,627,42,669.1,6.3,62.9
01/01/1998,Mid-East,153.8,13.3,167.1,8,60.2
01/04/1998,Mid-East,157.6,12.2,169.8,7.2,60.6
01/07/1998,Mid-East,164.6,10.3,174.9,5.9,61.7
01/10/1998,Mid-East,163.8,8.3,172.1,4.8,60.2
01/01/1999,Mid-East,167.8,7.8,175.6,4.4,61.1
01/04/1999,Mid-East,171.3,8.2,179.5,4.6,62.2
01/07/1999,Mid-East,178,8.8,186.8,4.7,64.1
01/10/1999,Mid-East,176.3,7.7,184.1,4.2,62.6
01/01/2000,Mid-East,177,7.4,184.4,4,62.5
01/04/2000,Mid-East,179.6,7.4,187,4,63
01/07/2000,Mid-East,185.1,7.6,192.7,3.9,64.2
01/10/2000,Mid-East,183.8,6.1,189.9,3.2,62.4
01/01/2001,Mid-East,186.6,5.8,192.4,3,63
01/04/2001,Mid-East,189.9,6,195.9,3,63.7
01/07/2001,Mid-East,193.6,8,201.5,4,65
01/10/2001,Mid-East,192.6,5.9,198.5,3,63.4
01/01/2002,Mid-East,191.7,6.5,198.2,3.3,63
01/04/2002,Mid-East,195.3,6.8,202.1,3.4,63.7
01/07/2002,Mid-East,201.9,7.6,209.5,3.6,65.4
01/10/2002,Mid-East,198.6,7.1,205.7,3.5,63.5
01/01/2003,Mid-East,200.5,6.1,206.6,3,63.3
01/04/2003,Mid-East,205.2,7.3,212.5,3.4,64.7
01/07/2003,Mid-East,203.6,8.3,212,3.9,63.9
01/10/2003,Mid-East,204.6,7.4,212,3.5,63.3
01/01/2004,Mid-East,205.3,7.3,212.6,3.4,63.1
01/04/2004,Mid-East,209.4,7.3,216.8,3.4,63.9
01/07/2004,Mid-East,213.5,6.4,219.9,2.9,64.1
01/10/2004,Mid-East,215.2,6.2,221.4,2.8,63.8
01/01/2005,Mid-East,221.3,6.7,228,3,65.1
01/04/2005,Mid-East,223.5,7.3,230.8,3.2,65.4
01/07/2005,Mid-East,228.3,9,237.4,3.8,66.4
01/10/2005,Mid-East,228.8,6.7,235.5,2.8,65.1
01/01/2006,Mid-East,232.3,8.1,240.3,3.4,65.8
01/04/2006,Mid-East,235.2,8.3,243.5,3.4,65.7
01/07/2006,Mid-East,238.2,9,247.2,3.6,66
01/10/2006,Mid-East,240.5,7.2,247.6,2.9,65.5
01/01/2007,Mid-East,246.6,9.9,256.4,3.9,67.3
01/04/2007,Mid-East,250.6,10.7,261.2,4.1,68
01/07/2007,Mid-East,255.6,10.5,266.1,4,68.7
01/10/2007,Mid-East,251.9,9.4,261.3,3.6,66.8
01/01/2008,Mid-East,254.6,9.5,264.1,3.6,67
01/04/2008,Mid-East,252.9,12.2,265,4.6,66.9
01/07/2008,Mid-East,246.8,15.3,262,5.8,66
01/10/2008,Mid-East,244.7,16,260.6,6.1,65.5
01/01/2009,Mid-East,232.2,23.9,256.1,9.3,64.3
01/04/2009,Mid-East,232.9,28.7,261.6,11,65.5
01/07/2009,Mid-East,231.1,31.7,262.8,12.1,65.6
01/10/2009,Mid-East,232.3,30.1,262.4,11.5,65.4
01/01/2010,Mid-East,228.6,34.8,263.4,13.3,65.5
01/04/2010,Mid-East,228.1,34,262.1,13,65.1
01/07/2010,Mid-East,228.5,31.4,259.8,12.1,64.4
01/10/2010,Mid-East,226.3,33.1,259.4,12.8,64.2
01/01/2011,Mid-East,222.7,33,255.8,13,63.3
01/04/2011,Mid-East,223.7,31.8,255.6,12.5,63.2
01/07/2011,Mid-East,226.6,33.5,260.1,12.9,64.1
01/10/2011,Mid-East,229.9,32.7,262.6,12.5,64.6
01/01/2012,Mid-East,228.8,33.2,262,12.7,64.4
