"Name","Rank","Number of Births"
"Milan","896","3"
"Mina","896","3"
"Miracle","896","3"
"Miranda","896","3"
"Miruna","896","3"
"Molly-Rose","896","3"
"Mona","896","3"
"Nathalie","896","3"
"Nour","896","3"
"Oonagh","896","3"
"Ophelia","896","3"
"Pauline","896","3"
"Polina","896","3"
"Rahela","896","3"
"Rana","896","3"
"Riya","896","3"
"Rosaleen","896","3"
"Roza","896","3"
"Salome","896","3"
"Santana","896","3"
"Seoda","896","3"
"Sheree","896","3"
"Sierra","896","3"
"Sky","896","3"
"Stela","896","3"
"Tessie","896","3"
"Joanie","896","3"
"Romi","896","3"
"Dubheasa","896","3"
"Khaleesi","896","3"
"Lorelei","896","3"
"Marlie","896","3"
"Safiya","896","3"
"Aizah","896","3"
"Elara","896","3"
"Hoorain","896","3"
"Naya","896","3"
"River","896","3"
"Aodhla","896","3"
"Essie","896","3"
"Sloane","896","3"
"Aayat","896","3"
"Aída","896","3"
"Aline","896","3"
"Amber-Rose","896","3"
"Anisia","896","3"
"Antonella","896","3"
"Ayaat","896","3"
"Brídín","896","3"
"Brónagh","896","3"
"Caia","896","3"
"Calla","896","3"
"Cialadh","896","3"
"Córa","896","3"
"Eilís","896","3"
"Elene","896","3"
"Elisse","896","3"
"Elouise","896","3"
"Erín","896","3"
"Erris","896","3"
"Eveanna","896","3"
"Evelin","896","3"
"Fódla","896","3"
"Haylie","896","3"
"Heba","896","3"
"Irha","896","3"
"Isla-Mae","896","3"
"Israa","896","3"
"Joana","896","3"
"Léa","896","3"
"Léna","896","3"
"Libbie","896","3"
"Lilith","896","3"
"Margaux","896","3"
"Micha","896","3"
"Neva","896","3"
"Neve","896","3"
"Niya","896","3"
"Nyla","896","3"
"Peaches","896","3"
"Shifa","896","3"
"Shóna","896","3"
"Sibéal","896","3"
"Sienna-Rose","896","3"
"Sophia-Rose","896","3"
"Xenia","896","3"
"Zahraa","896","3"
