Year,Business,Statistic,Count
2013,Accommodation and food service activities (I),Active Enterprise (Number),874
2013,Information and communication (J),Active Enterprise (Number),190
2013,Financial and insurance activities excluding activities of holding companies (K-642),Active Enterprise (Number),105
2013,Real estate activities (L),Active Enterprise (Number),363
2013,"Professional, scientific and technical activities (M)",Active Enterprise (Number),674
2013,Administrative and support service activities (N),Active Enterprise (Number),393
2013,Education (P),Active Enterprise (Number),404
2013,"ICT services (261 to 264,268,465,582,61,62,631)",Active Enterprise (Number),145
2013,"Business economy excluding activities of holding companies (B to N,-642)",Active Enterprise (Number),7303
2014,Mining and quarrying (B),Active Enterprise (Number),27
2014,Manufacturing (C),Active Enterprise (Number),522
2014,"Electricity, gas, steam and air conditioning supply (D)",Active Enterprise (Number),25
2014,"Water supply, sewerage, waste management and remediation activities (E)",Active Enterprise (Number),31
2014,Construction (F),Active Enterprise (Number),1881
2014,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Active Enterprise (Number),1553
2014,Transportation and storage (H),Active Enterprise (Number),557
2014,Accommodation and food service activities (I),Active Enterprise (Number),865
2014,Information and communication (J),Active Enterprise (Number),200
2014,Financial and insurance activities excluding activities of holding companies (K-642),Active Enterprise (Number),105
2014,Real estate activities (L),Active Enterprise (Number),373
2014,"Professional, scientific and technical activities (M)",Active Enterprise (Number),661
2014,Administrative and support service activities (N),Active Enterprise (Number),389
2014,Education (P),Active Enterprise (Number),415
2014,"ICT services (261 to 264,268,465,582,61,62,631)",Active Enterprise (Number),152
2014,"Business economy excluding activities of holding companies (B to N,-642)",Active Enterprise (Number),7189
2008,Mining and quarrying (B),Persons Engaged (Number),255
2008,Manufacturing (C),Persons Engaged (Number),5093
2008,"Electricity, gas, steam and air conditioning supply (D)",Persons Engaged (Number),
2008,"Water supply, sewerage, waste management and remediation activities (E)",Persons Engaged (Number),
2008,Construction (F),Persons Engaged (Number),7121
2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Persons Engaged (Number),8799
2008,Transportation and storage (H),Persons Engaged (Number),1538
2008,Accommodation and food service activities (I),Persons Engaged (Number),6178
2008,Information and communication (J),Persons Engaged (Number),1169
2008,Financial and insurance activities excluding activities of holding companies (K-642),Persons Engaged (Number),374
2008,Real estate activities (L),Persons Engaged (Number),479
2008,"Professional, scientific and technical activities (M)",Persons Engaged (Number),1786
2008,Administrative and support service activities (N),Persons Engaged (Number),1478
2008,Education (P),Persons Engaged (Number),2228
2008,"ICT services (261 to 264,268,465,582,61,62,631)",Persons Engaged (Number),915
2008,"Business economy excluding activities of holding companies (B to N,-642)",Persons Engaged (Number),34425
2009,Mining and quarrying (B),Persons Engaged (Number),166
2009,Manufacturing (C),Persons Engaged (Number),4558
2009,"Electricity, gas, steam and air conditioning supply (D)",Persons Engaged (Number),10
2009,"Water supply, sewerage, waste management and remediation activities (E)",Persons Engaged (Number),140
2009,Construction (F),Persons Engaged (Number),4642
2009,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Persons Engaged (Number),8016
2009,Transportation and storage (H),Persons Engaged (Number),1461
2009,Accommodation and food service activities (I),Persons Engaged (Number),5741
2009,Information and communication (J),Persons Engaged (Number),1060
2009,Financial and insurance activities excluding activities of holding companies (K-642),Persons Engaged (Number),338
2009,Real estate activities (L),Persons Engaged (Number),408
2009,"Professional, scientific and technical activities (M)",Persons Engaged (Number),1608
