id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9379713,Pink room with breakfast near city,12471653,Marian,,Dublin City,53.31658,-6.25153,Private room,150,2,28,2019-09-26,0.55,2,89
9401760,Family house in Dublin city Ireland,48758381,Fiona,,Dublin City,53.33175,-6.28208,Entire home/apt,298,1,61,2019-07-08,1.19,1,0
9420082,Christmas by Dublin Bay - 2/3 bed house,23366513,Clare,,Dn Laoghaire-Rathdown,53.3082,-6.19844,Entire home/apt,199,21,2,2016-08-29,0.05,1,0
9422501,Huge Ensuite Room -Penthouse (Hidden by Airbnb) - Grand Canal,43683461,Ron,,Dublin City,53.33864,-6.23719,Private room,595,6,4,2018-04-07,0.08,1,0
9448528,"Bright, clean, kid friendly. Private garden.",48950825,Patrick,,Dublin City,53.34054,-6.27403,Entire home/apt,110,2,138,2019-09-29,3.10,1,0
9449373,Charming Victorian Townhouse,13176208,Tara,,Dublin City,53.3674,-6.24907,Entire home/apt,300,3,76,2020-01-02,1.93,3,0
9451102,Spacious apartment in the heart of Dublin City!,19872157,Charlie,,Dublin City,53.34131,-6.27919,Entire home/apt,60,3,0,,,1,0
9454932,Dublin City Luxury Suite @ Guinness,41947241,Paul,,Dublin City,53.34436,-6.2841,Entire home/apt,99,1,384,2020-03-07,7.31,6,174
9458052,"Shared room, comfortable bed.",16164957,Pedro,,Dublin City,53.34265,-6.29468,Shared room,18,15,0,,,1,0
9459856,Cosy Apartment next to (Hidden by Airbnb) HQ,49021455,Derek,,Dublin City,53.33875,-6.23423,Entire home/apt,79,4,0,,,1,0
9462553,3 Bed Dublin City Home with Parking,49035586,Dermot & Sinead,,Dublin City,53.33526,-6.27731,Entire home/apt,155,2,130,2020-03-16,4.79,1,79
9468237,Luxury family home in Dublin,19131476,Nicholas,,South Dublin,53.29242,-6.30657,Entire home/apt,175,4,4,2017-12-07,0.08,1,0
9470721,Room in Heart of Dublin,49068951,Jason,,Dublin City,53.34506,-6.28343,Private room,37,2,315,2020-03-10,6.05,1,270
9475111,Convenient location.  20 minutes to city centre.,11488058,Ingrid,,Dn Laoghaire-Rathdown,53.27757,-6.22591,Private room,40,5,36,2019-04-16,0.70,1,0
9486894,25 min walk from Dublin city center,37209255,Cansu,,Dublin City,53.33105,-6.27498,Shared room,20,14,0,,,1,0
9499189,Spacious Dublin Georgian Apartment 3,14388596,Esther,,Dublin City,53.3239,-6.26953,Entire home/apt,130,14,123,2019-10-31,2.42,5,152
9517919,Smithfield Modern city centre apartment,42745658,Kevin,,Dublin City,53.34789,-6.27807,Entire home/apt,85,1,397,2020-03-16,9.19,3,255
9524878,Enjoy crhistmas and new year in Dub,49346023,Raul,,Dublin City,53.33636,-6.26528,Private room,45,2,0,,,1,0
9568877,Studio Apartment in excellent city centre location,20694947,Éverton,,Dublin City,53.35996,-6.25909,Entire home/apt,45,2,2,2016-11-05,0.05,1,0
9570811,Cosy 2 bed cottage in the heart of Dublin City,18809571,Karen,,Dublin City,53.35089,-6.2595,Entire home/apt,169,2,34,2019-08-19,0.65,1,179
9573310,4 bedroom seaside cottage in Dublin,49558188,Dervilla,,Dn Laoghaire-Rathdown,53.30941,-6.19862,Entire home/apt,185,5,8,2019-04-19,0.17,1,119
9573470,Cosy apartment in the city center,16011719,Jennifer,,Dublin City,53.34945,-6.26742,Entire home/apt,130,3,8,2017-07-16,0.16,1,0
9574279,Cosy House in the south city center,49323543,Stuart,,Dublin City,53.3364,-6.27707,Entire home/apt,100,1,0,,,1,0
9575613,"King Size Room in Luxury Victorian home, Dublin 4",49569652,Rhoda,,Dublin City,53.33576,-6.22335,Private room,100,2,44,2020-01-01,1.89,1,89
9575813,"Spacious, modern, very approachable",49570385,Farooq,,Dublin City,53.31471,-6.24983,Private room,35,3,0,,,1,0
9592476,Cozy room in South of Dublin,48796998,Saulius,,Dn Laoghaire-Rathdown,53.24912,-6.1456,Private room,49,1,1,2015-11-29,0.02,1,0
9606528,"Southside, clean, friendly & safe!",49710052,John,,Dn Laoghaire-Rathdown,53.27185,-6.25312,Private room,100,2,36,2019-08-31,0.72,1,232
9613946,Love Nest in Dublin city centre,49740331,Paul,,Dublin City,53.32902,-6.25173,Entire home/apt,90,4,1,2016-01-05,0.02,1,0
9632246,En suite master room with King bed,13321176,Sara,,Dublin City,53.34226,-6.30039,Private room,100,1,0,,,1,0
9637835,3 bedroom modern city pad,42842441,Peter,,Dublin City,53.33728,-6.28632,Entire home/apt,180,2,0,,,1,0
9641440,Room in Townhouse near city centre,13176208,Tara,,Dublin City,53.3675,-6.24911,Private room,49,2,60,2020-02-12,1.20,3,0
9649088,Comfortable room in a luxurious apartment,49884180,Nina,,Dn Laoghaire-Rathdown,53.28031,-6.24316,Entire home/apt,70,2,1,2016-06-30,0.02,1,0
9661195,One bedroom House in Dublin 12,28700838,Ashling,,Dublin City,53.3306,-6.32079,Entire home/apt,62,1,5,2016-08-17,0.10,1,0
9663095,Spacious and sunny apartment,48999658,Gelder,,Dublin City,53.35156,-6.24696,Private room,45,3,0,,,1,0
9665531,Modern & convinient IFSC apartment,794016,Raymond,,Dublin City,53.35059,-6.24459,Entire home/apt,225,4,0,,,1,0
9665620,25 min walk to Phoenix park along the scenic canal,35687781,Mari Matty,,Dublin City,53.37611,-6.31196,Private room,32,1,170,2020-03-08,3.67,3,21
9666231,Drumcondra,49953429,Sam,,Dublin City,53.37599,-6.2518,Entire home/apt,120,5,0,,,1,0
9666343,* Stunning top floor in Old Quarter,7996465,Niamh,,Dublin City,53.34404,-6.26811,Entire home/apt,125,1,1,2015-12-06,0.02,1,0
9675449,Private Double/Twin Room,8585358,Margaret,,Dublin City,53.36838,-6.26979,Private room,82,2,0,,,3,179
9687319,Amazing City Center Double Room with En-Suite,14708599,Aidan,,Dublin City,53.34333,-6.27678,Private room,500,3,3,2019-05-06,0.24,2,0
9693751,Luxurious two bedroom apartment.,44188650,Karen,,Dublin City,53.33877,-6.25201,Entire home/apt,150,1,0,,,1,0
9700434,Stunning home in unique setting,50092961,Wendy,,Dn Laoghaire-Rathdown,53.26352,-6.23534,Private room,70,1,0,,,1,0
9709674,Cozy house with central location!,50130566,Damien,,Dublin City,53.34093,-6.27372,Private room,55,3,45,2018-09-09,0.97,1,0
