id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32432244,amazing 10 mins Walk to City Centre XL Dbl room,16729436,Camila Alexsandra,,Dublin City,53.35017,-6.22645,Private room,65,1,9,2019-11-08,1.22,2,86
32434302,Private bedroom in Bracken Hill with Free Parking,243620747,Niamh,,Dn Laoghaire-Rathdown,53.26962,-6.23944,Private room,30,1,46,2019-11-15,4.95,1,56
32442245,Authentic Dublin home in the heart of Dublin city,243697932,Larissa,,Dublin City,53.34096,-6.27883,Private room,85,2,19,2019-09-29,2.18,2,0
32443440,Double room Blackrock (2 single rooms available 2),63842998,Justine,,Dn Laoghaire-Rathdown,53.2999,-6.18209,Private room,70,2,2,2019-03-19,0.24,3,0
32443648,The Old Well. Large House Sleeps 13.,32249216,Marie,,South Dublin,53.35514,-6.37008,Entire home/apt,500,1,27,2019-11-17,3.27,1,190
32444293,"Double room, private bathroom and parking space",243719444,Karin,,Fingal,53.39622,-6.37316,Private room,35,1,20,2019-10-27,2.46,2,0
32462470,Classic Gem in Smithfield Village,243874217,Kathryn & Edward,,Dublin City,53.34971,-6.27832,Entire home/apt,159,2,32,2019-11-08,3.66,1,65
32463233,Quiet 1 Bedroom Apt in the City  - Parkgate Pl,74711186,Graeme,,Dublin City,53.34774,-6.29502,Entire home/apt,260,1,0,,,1,0
32467141,Authentic Dublin home in the heart of Dublin II,243697932,Larissa,,Dublin City,53.34239,-6.27989,Private room,72,2,29,2019-11-24,3.97,2,0
32472497,Entire Newly Renovated 5 bed Home by the Sea,109686366,David,,Dn Laoghaire-Rathdown,53.27984,-6.12312,Entire home/apt,400,2,16,2019-10-07,1.83,1,133
32483319,"Lovely bright room in Monsktown, Co. Dublin",96865484,Tracy,,Dn Laoghaire-Rathdown,53.29544,-6.15849,Private room,100,1,2,2019-10-10,0.76,2,24
32484252,Double room in Dublin Kimmage,5367917,Elisa,,Dublin City,53.32136,-6.29397,Private room,200,2,0,,,2,0
32488160,Large Georgian house close to Dublin City Center,240653203,Connie,,Dn Laoghaire-Rathdown,53.29579,-6.17949,Entire home/apt,250,6,2,2019-08-17,0.42,1,76
32489761,One bedroom apartment,34431527,Caroline,,Dublin City,53.34301,-6.24389,Entire home/apt,200,120,3,2019-06-10,0.36,1,89
32498446,Modern City Cottage in Grand Canal Dock Area,244182580,Julia,,Dublin City,53.3426,-6.22752,Entire home/apt,500,2,12,2019-09-23,1.33,2,327
32499291,"Modern 4 Bed House, easy access to Airport, Dublin",142216370,Sukh,,Fingal,53.4026,-6.43832,Entire home/apt,60,1,71,2019-11-09,8.13,1,96
32510829,Quick stay,244284201,Bartosz,,Dublin City,53.38643,-6.22829,Private room,40,1,8,2019-07-06,0.91,1,43
