date,region,type,value
2011,Dún Laoghaire-Rathdown,Flat or apartment in a converted house or commercial building and bedsits,1344
2016,Dún Laoghaire-Rathdown,Flat or apartment in a converted house or commercial building and bedsits,1343
2002,Dún Laoghaire-Rathdown,Not stated,787
2006,Dún Laoghaire-Rathdown,Not stated,1123
2011,Dún Laoghaire-Rathdown,Not stated,1100
2016,Dún Laoghaire-Rathdown,Not stated,508
2002,Dublin City,Detached house,8389
2006,Dublin City,Detached house,9012
2011,Dublin City,Detached house,10837
2016,Dublin City,Detached house,10382
2002,Dublin City,Semi-detached house,45026
2006,Dublin City,Semi-detached house,45826
2011,Dublin City,Semi-detached house,47998
2016,Dublin City,Semi-detached house,48881
2002,Dublin City,Terraced house,69356
2006,Dublin City,Terraced house,70519
2011,Dublin City,Terraced house,74179
2016,Dublin City,Terraced house,74446
2002,Dublin City,Flat or apartment in a purpose- built block,36089
2006,Dublin City,Flat or apartment in a purpose- built block,43140
2011,Dublin City,Flat or apartment in a purpose- built block,54639
2016,Dublin City,Flat or apartment in a purpose- built block,60349
2002,Dublin City,Flat or apartment in a converted house or commercial building and bedsits,15562
2006,Dublin City,Flat or apartment in a converted house or commercial building and bedsits,16018
2011,Dublin City,Flat or apartment in a converted house or commercial building and bedsits,14555
2016,Dublin City,Flat or apartment in a converted house or commercial building and bedsits,14188
2002,Dublin City,Not stated,6239
2006,Dublin City,Not stated,6196
2011,Dublin City,Not stated,5639
2016,Dublin City,Not stated,3345
