date,type,value
2002,Value of Mortgage Debt,47212
2003,Value of Mortgage Debt,59242
2004,Value of Mortgage Debt,77029
2005,Value of Mortgage Debt,98956
2006,Value of Mortgage Debt,123288
2007,Value of Mortgage Debt,139842
